segregation;;S>F;community;forget
0.5;0.0533;SB;SKEPTIC;forgetting probability 0.1
0.6;0.0595;SB;SKEPTIC;forgetting probability 0.1
0.7;0.0558;SB;SKEPTIC;forgetting probability 0.1
0.8;0.0430;SB;SKEPTIC;forgetting probability 0.1
0.9;0.0241;SB;SKEPTIC;forgetting probability 0.1
0.99;0.00;SB;SKEPTIC;forgetting probability 0.1
0.5;0.3299;SB;SKEPTIC;forgetting probability 0.8
0.6;0.3069;SB;SKEPTIC;forgetting probability 0.8
0.7;0.2754;SB;SKEPTIC;forgetting probability 0.8
0.8;0.2277;SB;SKEPTIC;forgetting probability 0.8
0.9;0.1534;SB;SKEPTIC;forgetting probability 0.8
0.99;0.00;SB;SKEPTIC;forgetting probability 0.8
0.5;0.1819;SB;GULLIBLE;forgetting probability 0.1
0.6;0.2586;SB;GULLIBLE;forgetting probability 0.1
0.7;0.3167;SB;GULLIBLE;forgetting probability 0.1
0.8;0.3601;SB;GULLIBLE;forgetting probability 0.1
0.9;0.3943;SB;GULLIBLE;forgetting probability 0.1
0.99;0.4184;SB;GULLIBLE;forgetting probability 0.1
0.5;0.4001;SB;GULLIBLE;forgetting probability 0.8
0.6;0.4053;SB;GULLIBLE;forgetting probability 0.8
0.7;0.4109;SB;GULLIBLE;forgetting probability 0.8
0.8;0.4175;SB;GULLIBLE;forgetting probability 0.8
0.9;0.4250;SB;GULLIBLE;forgetting probability 0.8
0.99;0.4397;SB;GULLIBLE;forgetting probability 0.8
0.5;0.4432;SF;SKEPTIC;forgetting probability 0.1
0.6;0.4374;SF;SKEPTIC;forgetting probability 0.1
0.7;0.4407;SF;SKEPTIC;forgetting probability 0.1
0.8;0.4532;SF;SKEPTIC;forgetting probability 0.1
0.9;0.4725;SF;SKEPTIC;forgetting probability 0.1
0.99;0.4961;SF;SKEPTIC;forgetting probability 0.1
0.5;0.1171;SF;SKEPTIC;forgetting probability 0.8
0.6;0.1392;SF;SKEPTIC;forgetting probability 0.8
0.7;0.1699;SF;SKEPTIC;forgetting probability 0.8
0.8;0.2168;SF;SKEPTIC;forgetting probability 0.8
0.9;0.2927;SF;SKEPTIC;forgetting probability 0.8
0.99;0.4442;SF;SKEPTIC;forgetting probability 0.8
0.5;0.3146;SF;GULLIBLE;forgetting probability 0.1
0.6;0.2389;SF;GULLIBLE;forgetting probability 0.1
0.7;0.1794;SF;GULLIBLE;forgetting probability 0.1
0.8;0.1367;SF;GULLIBLE;forgetting probability 0.1
0.9;0.1036;SF;GULLIBLE;forgetting probability 0.1
0.99;0.0788;SF;GULLIBLE;forgetting probability 0.1
0.5;0.0462;SF;GULLIBLE;forgetting probability 0.8
0.6;0.0407;SF;GULLIBLE;forgetting probability 0.8
0.7;0.0353;SF;GULLIBLE;forgetting probability 0.8
0.8;0.0282;SF;GULLIBLE;forgetting probability 0.8
0.9;0.01911;SF;GULLIBLE;forgetting probability 0.8
0.99;0.005;SF;GULLIBLE;forgetting probability 0.8
