Date,For,Against
2016-09-28 12,433.0,0.0
2016-09-28 13,809.0,0.0
2016-09-28 14,1054.0,0.0
2016-09-28 15,1253.0,0.0
2016-09-28 16,1434.0,0.0
2016-09-28 17,1564.0,0.0
2016-09-28 18,1657.0,16.0
2016-09-28 19,1710.0,40.0
2016-09-28 20,1781.0,44.0
2016-09-28 21,1840.0,49.0
2016-09-28 22,1872.0,52.0
2016-09-28 23,1893.0,55.0
2016-09-29 00,1918.0,73.0
2016-09-29 01,1938.0,80.0
2016-09-29 02,1962.0,83.0
2016-09-29 03,1993.0,90.0
2016-09-29 04,2010.0,101.0
2016-09-29 05,2023.0,102.0
2016-09-29 06,2031.0,104.0
2016-09-29 07,2043.0,105.0
2016-09-29 08,2044.0,107.0
2016-09-29 09,2046.0,108.0
2016-09-29 10,2048.0,108.0
2016-09-29 11,2060.0,111.0
2016-09-29 12,2080.0,112.0
2016-09-29 13,2083.0,113.0
2016-09-29 14,2095.0,115.0
2016-09-29 15,2103.0,119.0
2016-09-29 16,2107.0,125.0
2016-09-29 17,2121.0,133.0
2016-09-29 18,2123.0,139.0
2016-09-29 19,2126.0,148.0
2016-09-29 20,2132.0,149.0
2016-09-29 21,2132.0,150.0
2016-09-29 22,2137.0,152.0
2016-09-29 23,2144.0,154.0
2016-09-30 00,2146.0,155.0
2016-09-30 01,2150.0,155.0
2016-09-30 02,2153.0,155.0
2016-09-30 03,2156.0,157.0
2016-09-30 04,2160.0,163.0
2016-09-30 05,2162.0,163.0
2016-09-30 06,2162.0,163.0
2016-09-30 07,2163.0,164.0
2016-09-30 08,2163.0,164.0
2016-09-30 09,2164.0,171.0
2016-09-30 10,2166.0,181.0
2016-09-30 11,2166.0,497.0
2016-09-30 12,2166.0,1228.0
2016-09-30 13,2166.0,2040.0
2016-09-30 14,2167.0,2667.0
2016-09-30 15,2168.0,3015.0
2016-09-30 16,2168.0,3242.0
2016-09-30 17,2197.0,3416.0
2016-09-30 18,2200.0,3468.0
2016-09-30 19,2200.0,3468.0
2016-09-30 20,2200.0,3468.0
2016-09-30 21,2200.0,3468.0
2016-09-30 22,2200.0,3468.0
2016-09-30 23,2200.0,3468.0
2016-10-01 00,2200.0,3468.0
2016-10-01 01,2200.0,3468.0
2016-10-01 02,2200.0,3468.0
2016-10-01 03,2200.0,3468.0
2016-10-01 04,2200.0,3468.0
2016-10-01 05,2200.0,3468.0
2016-10-01 06,2200.0,3468.0
2016-10-01 07,2200.0,3468.0
2016-10-01 08,2200.0,3468.0
2016-10-01 09,2200.0,3468.0
2016-10-01 10,2200.0,3468.0
2016-10-01 11,2200.0,3468.0
2016-10-01 12,2200.0,3468.0
2016-10-01 13,2200.0,3468.0
2016-10-01 14,2200.0,3468.0
2016-10-01 15,2200.0,3468.0
2016-10-01 16,2200.0,3468.0
2016-10-01 17,2200.0,3468.0
2016-10-01 18,2200.0,3468.0
2016-10-01 19,2200.0,3468.0
2016-10-01 20,2200.0,3468.0
2016-10-01 21,2200.0,3468.0
2016-10-01 22,2200.0,3468.0
2016-10-01 23,2200.0,3468.0
2016-10-02 00,2200.0,3468.0
2016-10-02 01,2200.0,3468.0
2016-10-02 02,2200.0,3468.0
2016-10-02 03,2200.0,3468.0
2016-10-02 04,2200.0,3468.0
2016-10-02 05,2200.0,3468.0
2016-10-02 06,2200.0,3468.0
2016-10-02 07,2200.0,3468.0
2016-10-02 08,2200.0,3468.0
2016-10-02 09,2200.0,3468.0
2016-10-02 10,2200.0,3468.0
2016-10-02 11,2200.0,3468.0
2016-10-02 12,2200.0,3468.0
2016-10-02 13,2200.0,3468.0
2016-10-02 14,2200.0,3468.0
2016-10-02 15,2200.0,3468.0
2016-10-02 16,2200.0,3468.0
2016-10-02 17,2200.0,3468.0
2016-10-02 18,2200.0,3468.0
2016-10-02 19,2200.0,3468.0
2016-10-02 20,2200.0,3468.0
2016-10-02 21,2200.0,3468.0
2016-10-02 22,2200.0,3468.0
2016-10-02 23,2200.0,3468.0
2016-10-03 00,2200.0,3468.0
2016-10-03 01,2200.0,3468.0
2016-10-03 02,2200.0,3468.0
2016-10-03 03,2200.0,3468.0
2016-10-03 04,2200.0,3468.0
2016-10-03 05,2200.0,3468.0
2016-10-03 06,2200.0,3468.0
2016-10-03 07,2200.0,3468.0
2016-10-03 08,2200.0,3468.0
2016-10-03 09,2200.0,3468.0
2016-10-03 10,2200.0,3468.0
2016-10-03 11,2200.0,3468.0
2016-10-03 12,2200.0,3468.0
2016-10-03 13,2200.0,3468.0
2016-10-03 14,2200.0,3468.0
2016-10-03 15,2200.0,3468.0
2016-10-03 16,2200.0,3468.0
2016-10-03 17,2200.0,3468.0
2016-10-03 18,2200.0,3468.0
2016-10-03 19,2200.0,3468.0
2016-10-03 20,2200.0,3468.0
2016-10-03 21,2200.0,3468.0
2016-10-03 22,2200.0,3468.0
2016-10-03 23,2200.0,3468.0
2016-10-04 00,2200.0,3468.0
2016-10-04 01,2200.0,3468.0
2016-10-04 02,2200.0,3468.0
2016-10-04 03,2200.0,3468.0
2016-10-04 04,2200.0,3468.0
2016-10-04 05,2200.0,3468.0
2016-10-04 06,2200.0,3468.0
2016-10-04 07,2200.0,3468.0
2016-10-04 08,2200.0,3468.0
2016-10-04 09,2200.0,3468.0
2016-10-04 10,2200.0,3468.0
2016-10-04 11,2200.0,3468.0
2016-10-04 12,2200.0,3468.0
2016-10-04 13,2200.0,3468.0
2016-10-04 14,2200.0,3468.0
2016-10-04 15,2200.0,3468.0
2016-10-04 16,2200.0,3468.0
2016-10-04 17,2200.0,3468.0
2016-10-04 18,2200.0,3468.0
2016-10-04 19,2200.0,3468.0
2016-10-04 20,2200.0,3468.0
2016-10-04 21,2200.0,3468.0
2016-10-04 22,2200.0,3468.0
2016-10-04 23,2200.0,3468.0
2016-10-05 00,2200.0,3468.0
2016-10-05 01,2200.0,3468.0
2016-10-05 02,2200.0,3468.0
2016-10-05 03,2200.0,3468.0
2016-10-05 04,2200.0,3468.0
2016-10-05 05,2200.0,3468.0
2016-10-05 06,2200.0,3468.0
2016-10-05 07,2200.0,3468.0
2016-10-05 08,2200.0,3468.0
2016-10-05 09,2200.0,3468.0
2016-10-05 10,2200.0,3468.0
2016-10-05 11,2200.0,3468.0
2016-10-05 12,2200.0,3468.0
2016-10-05 13,2200.0,3468.0
2016-10-05 14,2200.0,3468.0
2016-10-05 15,2200.0,3468.0
2016-10-05 16,2200.0,3468.0
2016-10-05 17,2200.0,3468.0
2016-10-05 18,2200.0,3468.0
2016-10-05 19,2200.0,3468.0
2016-10-05 20,2200.0,3468.0
2016-10-05 21,2200.0,3468.0
2016-10-05 22,2200.0,3468.0
2016-10-05 23,2200.0,3468.0
2016-10-06 00,2200.0,3468.0
2016-10-06 01,2200.0,3468.0
2016-10-06 02,2200.0,3468.0
2016-10-06 03,2200.0,3468.0
2016-10-06 04,2200.0,3468.0
2016-10-06 05,2200.0,3468.0
2016-10-06 06,2200.0,3468.0
2016-10-06 07,2200.0,3468.0
2016-10-06 08,2200.0,3468.0
2016-10-06 09,2200.0,3468.0
2016-10-06 10,2200.0,3468.0
2016-10-06 11,2200.0,3468.0
2016-10-06 12,2200.0,3468.0
2016-10-06 13,2200.0,3468.0
2016-10-06 14,2200.0,3468.0
2016-10-06 15,2200.0,3468.0
2016-10-06 16,2200.0,3468.0
2016-10-06 17,2200.0,3468.0
2016-10-06 18,2200.0,3468.0
2016-10-06 19,2200.0,3468.0
2016-10-06 20,2200.0,3468.0
2016-10-06 21,2200.0,3468.0
2016-10-06 22,2200.0,3468.0
2016-10-06 23,2200.0,3468.0
2016-10-07 00,2200.0,3468.0
2016-10-07 01,2200.0,3468.0
2016-10-07 02,2200.0,3468.0
2016-10-07 03,2200.0,3468.0
2016-10-07 04,2200.0,3468.0
2016-10-07 05,2200.0,3468.0
2016-10-07 06,2200.0,3468.0
2016-10-07 07,2200.0,3468.0
2016-10-07 08,2200.0,3468.0
2016-10-07 09,2200.0,3468.0
2016-10-07 10,2200.0,3468.0
2016-10-07 11,2200.0,3468.0
2016-10-07 12,2200.0,3468.0
2016-10-07 13,2200.0,3468.0
2016-10-07 14,2200.0,3468.0
2016-10-07 15,2200.0,3468.0
2016-10-07 16,2200.0,3468.0
2016-10-07 17,2200.0,3468.0
2016-10-07 18,2200.0,3468.0
2016-10-07 19,2200.0,3468.0
2016-10-07 20,2200.0,3468.0
2016-10-07 21,2200.0,3468.0
2016-10-07 22,2200.0,3468.0
2016-10-07 23,2200.0,3468.0
2016-10-08 00,2200.0,3468.0
2016-10-08 01,2200.0,3468.0
2016-10-08 02,2200.0,3468.0
2016-10-08 03,2200.0,3468.0
2016-10-08 04,2200.0,3468.0
2016-10-08 05,2200.0,3468.0
2016-10-08 06,2200.0,3468.0
2016-10-08 07,2200.0,3468.0
2016-10-08 08,2200.0,3468.0
