Date,For,Against
2016-07-17 16,790.0,0.0
2016-07-17 17,1846.0,0.0
2016-07-17 18,2733.0,0.0
2016-07-17 19,3404.0,0.0
2016-07-17 20,3871.0,0.0
2016-07-17 21,4197.0,0.0
2016-07-17 22,4385.0,0.0
2016-07-17 23,4662.0,0.0
2016-07-18 00,4801.0,0.0
2016-07-18 01,4886.0,0.0
2016-07-18 02,5007.0,0.0
2016-07-18 03,5086.0,0.0
2016-07-18 04,5177.0,0.0
2016-07-18 05,5233.0,0.0
2016-07-18 06,5269.0,0.0
2016-07-18 07,5294.0,0.0
2016-07-18 08,5317.0,0.0
2016-07-18 09,5335.0,0.0
2016-07-18 10,5352.0,0.0
2016-07-18 11,5377.0,0.0
2016-07-18 12,5402.0,0.0
2016-07-18 13,5447.0,0.0
2016-07-18 14,5502.0,0.0
2016-07-18 15,5542.0,0.0
2016-07-18 16,5571.0,0.0
2016-07-18 17,5613.0,0.0
2016-07-18 18,5682.0,70.0
2016-07-18 19,5734.0,93.0
2016-07-18 20,5749.0,106.0
2016-07-18 21,5760.0,112.0
2016-07-18 22,5775.0,116.0
2016-07-18 23,5803.0,117.0
2016-07-19 00,5806.0,123.0
2016-07-19 01,5810.0,131.0
2016-07-19 02,5812.0,133.0
2016-07-19 03,5815.0,133.0
2016-07-19 04,5822.0,135.0
2016-07-19 05,5831.0,136.0
2016-07-19 06,5834.0,136.0
2016-07-19 07,5835.0,137.0
2016-07-19 08,5835.0,137.0
2016-07-19 09,5836.0,137.0
2016-07-19 10,5836.0,137.0
2016-07-19 11,5837.0,138.0
2016-07-19 12,5838.0,139.0
2016-07-19 13,5839.0,140.0
2016-07-19 14,5856.0,140.0
2016-07-19 15,5859.0,140.0
2016-07-19 16,5861.0,140.0
2016-07-19 17,5862.0,140.0
2016-07-19 18,5867.0,141.0
2016-07-19 19,5867.0,143.0
2016-07-19 20,5869.0,143.0
2016-07-19 21,5869.0,145.0
2016-07-19 22,5869.0,146.0
2016-07-19 23,5870.0,146.0
2016-07-20 00,5871.0,147.0
2016-07-20 01,5871.0,147.0
2016-07-20 02,5872.0,149.0
2016-07-20 03,5872.0,149.0
2016-07-20 04,5873.0,149.0
2016-07-20 05,5878.0,149.0
2016-07-20 06,5878.0,151.0
2016-07-20 07,5878.0,151.0
2016-07-20 08,5879.0,151.0
2016-07-20 09,5879.0,152.0
2016-07-20 10,5881.0,152.0
2016-07-20 11,5881.0,152.0
2016-07-20 12,5882.0,152.0
2016-07-20 13,5883.0,153.0
2016-07-20 14,5883.0,154.0
2016-07-20 15,5883.0,155.0
2016-07-20 16,5889.0,156.0
2016-07-20 17,5890.0,156.0
2016-07-20 18,5890.0,156.0
2016-07-20 19,5891.0,158.0
2016-07-20 20,5892.0,158.0
2016-07-20 21,5893.0,158.0
2016-07-20 22,5894.0,158.0
2016-07-20 23,5896.0,159.0
2016-07-21 00,5896.0,161.0
2016-07-21 01,5896.0,161.0
2016-07-21 02,5896.0,161.0
2016-07-21 03,5898.0,161.0
2016-07-21 04,5898.0,161.0
2016-07-21 05,5898.0,161.0
2016-07-21 06,5899.0,161.0
2016-07-21 07,5899.0,161.0
2016-07-21 08,5899.0,161.0
2016-07-21 09,5899.0,161.0
2016-07-21 10,5900.0,161.0
2016-07-21 11,5900.0,161.0
2016-07-21 12,5900.0,162.0
2016-07-21 13,5900.0,163.0
2016-07-21 14,5900.0,163.0
2016-07-21 15,5900.0,163.0
2016-07-21 16,5900.0,163.0
2016-07-21 17,5900.0,163.0
2016-07-21 18,5900.0,163.0
2016-07-21 19,5900.0,163.0
2016-07-21 20,5900.0,163.0
2016-07-21 21,5900.0,165.0
2016-07-21 22,5900.0,165.0
2016-07-21 23,5900.0,165.0
2016-07-22 00,5900.0,166.0
2016-07-22 01,5902.0,166.0
2016-07-22 02,5902.0,167.0
2016-07-22 03,5902.0,167.0
2016-07-22 04,5902.0,167.0
2016-07-22 05,5905.0,167.0
2016-07-22 06,5905.0,167.0
2016-07-22 07,5905.0,167.0
2016-07-22 08,5905.0,167.0
2016-07-22 09,5905.0,167.0
2016-07-22 10,5905.0,167.0
2016-07-22 11,5905.0,167.0
2016-07-22 12,5905.0,167.0
2016-07-22 13,5905.0,167.0
2016-07-22 14,5906.0,167.0
2016-07-22 15,5907.0,167.0
2016-07-22 16,5907.0,167.0
2016-07-22 17,5907.0,168.0
2016-07-22 18,5907.0,168.0
2016-07-22 19,5907.0,168.0
2016-07-22 20,5907.0,168.0
2016-07-22 21,5907.0,168.0
2016-07-22 22,5912.0,168.0
2016-07-22 23,5913.0,168.0
2016-07-23 00,5915.0,168.0
2016-07-23 01,5915.0,171.0
2016-07-23 02,5915.0,191.0
2016-07-23 03,5915.0,191.0
2016-07-23 04,5915.0,191.0
2016-07-23 05,5915.0,191.0
2016-07-23 06,5915.0,191.0
2016-07-23 07,5915.0,191.0
2016-07-23 08,5915.0,191.0
2016-07-23 09,5915.0,191.0
2016-07-23 10,5915.0,191.0
2016-07-23 11,5915.0,191.0
2016-07-23 12,5915.0,191.0
2016-07-23 13,5915.0,191.0
2016-07-23 14,5916.0,192.0
2016-07-23 15,5916.0,192.0
2016-07-23 16,5916.0,192.0
2016-07-23 17,5916.0,192.0
2016-07-23 18,5916.0,192.0
2016-07-23 19,5918.0,192.0
2016-07-23 20,5918.0,193.0
2016-07-23 21,5918.0,193.0
2016-07-23 22,5918.0,193.0
2016-07-23 23,5918.0,194.0
2016-07-24 00,5918.0,198.0
2016-07-24 01,5920.0,198.0
2016-07-24 02,5920.0,198.0
2016-07-24 03,5920.0,198.0
2016-07-24 04,5921.0,198.0
2016-07-24 05,5921.0,198.0
2016-07-24 06,5923.0,198.0
2016-07-24 07,5924.0,198.0
2016-07-24 08,5924.0,198.0
2016-07-24 09,5924.0,198.0
2016-07-24 10,5924.0,198.0
2016-07-24 11,5924.0,199.0
2016-07-24 12,5924.0,199.0
2016-07-24 13,5924.0,199.0
2016-07-24 14,5924.0,199.0
2016-07-24 15,5925.0,199.0
2016-07-24 16,5925.0,200.0
2016-07-24 17,5925.0,200.0
2016-07-24 18,5925.0,200.0
2016-07-24 19,5925.0,200.0
2016-07-24 20,5925.0,201.0
2016-07-24 21,5925.0,201.0
2016-07-24 22,5925.0,201.0
2016-07-24 23,5925.0,201.0
2016-07-25 00,5925.0,201.0
2016-07-25 01,5925.0,201.0
2016-07-25 02,5925.0,201.0
2016-07-25 03,5925.0,201.0
2016-07-25 04,5925.0,201.0
2016-07-25 05,5925.0,201.0
2016-07-25 06,5927.0,201.0
2016-07-25 07,5927.0,201.0
2016-07-25 08,5927.0,201.0
2016-07-25 09,5927.0,201.0
2016-07-25 10,5927.0,201.0
2016-07-25 11,5927.0,201.0
2016-07-25 12,5927.0,201.0
2016-07-25 13,5927.0,201.0
2016-07-25 14,5927.0,201.0
2016-07-25 15,5927.0,201.0
2016-07-25 16,5927.0,201.0
2016-07-25 17,5927.0,201.0
2016-07-25 18,5927.0,201.0
2016-07-25 19,5927.0,203.0
