Date,For,Against
2016-08-14 11,486.0,0.0
2016-08-14 12,771.0,0.0
2016-08-14 13,1241.0,0.0
2016-08-14 14,2216.0,0.0
2016-08-14 15,2979.0,0.0
2016-08-14 16,3616.0,0.0
2016-08-14 17,4161.0,0.0
2016-08-14 18,4612.0,0.0
2016-08-14 19,4952.0,0.0
2016-08-14 20,5331.0,0.0
2016-08-14 21,5627.0,0.0
2016-08-14 22,5858.0,0.0
2016-08-14 23,6093.0,0.0
2016-08-15 00,6252.0,0.0
2016-08-15 01,6370.0,0.0
2016-08-15 02,6499.0,0.0
2016-08-15 03,6601.0,0.0
2016-08-15 04,6659.0,0.0
2016-08-15 05,6720.0,0.0
2016-08-15 06,6773.0,0.0
2016-08-15 07,6795.0,0.0
2016-08-15 08,6820.0,0.0
2016-08-15 09,6838.0,0.0
2016-08-15 10,6862.0,0.0
2016-08-15 11,6930.0,0.0
2016-08-15 12,6991.0,0.0
2016-08-15 13,7039.0,0.0
2016-08-15 14,7090.0,0.0
2016-08-15 15,7150.0,0.0
2016-08-15 16,7213.0,0.0
2016-08-15 17,7280.0,0.0
2016-08-15 18,7303.0,0.0
2016-08-15 19,7332.0,0.0
2016-08-15 20,7357.0,7.0
2016-08-15 21,7370.0,8.0
2016-08-15 22,7383.0,9.0
2016-08-15 23,7408.0,10.0
2016-08-16 00,7420.0,10.0
2016-08-16 01,7427.0,10.0
2016-08-16 02,7440.0,10.0
2016-08-16 03,7449.0,14.0
2016-08-16 04,7457.0,26.0
2016-08-16 05,7471.0,26.0
2016-08-16 06,7475.0,26.0
2016-08-16 07,7477.0,26.0
2016-08-16 08,7479.0,26.0
2016-08-16 09,7479.0,27.0
2016-08-16 10,7484.0,27.0
2016-08-16 11,7490.0,27.0
2016-08-16 12,7496.0,27.0
2016-08-16 13,7502.0,27.0
2016-08-16 14,7505.0,28.0
2016-08-16 15,7561.0,28.0
2016-08-16 16,7589.0,29.0
2016-08-16 17,7613.0,29.0
2016-08-16 18,7637.0,29.0
2016-08-16 19,7653.0,29.0
2016-08-16 20,7660.0,29.0
2016-08-16 21,7668.0,30.0
2016-08-16 22,7705.0,31.0
2016-08-16 23,7716.0,31.0
2016-08-17 00,7731.0,31.0
2016-08-17 01,7742.0,31.0
2016-08-17 02,7772.0,31.0
2016-08-17 03,7789.0,31.0
2016-08-17 04,7794.0,31.0
2016-08-17 05,7797.0,31.0
