Date,For,Against
2016-10-10 22,849.0,0.0
2016-10-10 23,1495.0,0.0
2016-10-11 00,1988.0,0.0
2016-10-11 01,2467.0,0.0
2016-10-11 02,2843.0,0.0
2016-10-11 03,3119.0,0.0
2016-10-11 04,3336.0,0.0
2016-10-11 05,3515.0,0.0
2016-10-11 06,3633.0,0.0
2016-10-11 07,3722.0,0.0
2016-10-11 08,3786.0,0.0
2016-10-11 09,4035.0,0.0
2016-10-11 10,4231.0,0.0
2016-10-11 11,4433.0,0.0
2016-10-11 12,4825.0,0.0
2016-10-11 13,5141.0,0.0
2016-10-11 14,5428.0,0.0
2016-10-11 15,5683.0,0.0
2016-10-11 16,5860.0,0.0
2016-10-11 17,6055.0,0.0
2016-10-11 18,6164.0,0.0
2016-10-11 19,6236.0,0.0
2016-10-11 20,6334.0,6.0
2016-10-11 21,6389.0,9.0
2016-10-11 22,6447.0,11.0
2016-10-11 23,6546.0,14.0
2016-10-12 00,6627.0,15.0
2016-10-12 01,6691.0,16.0
2016-10-12 02,6739.0,17.0
2016-10-12 03,6777.0,19.0
2016-10-12 04,6814.0,23.0
2016-10-12 05,6825.0,24.0
2016-10-12 06,6835.0,24.0
2016-10-12 07,6856.0,26.0
2016-10-12 08,6863.0,26.0
2016-10-12 09,6870.0,27.0
2016-10-12 10,6881.0,30.0
2016-10-12 11,6899.0,31.0
2016-10-12 12,6910.0,32.0
2016-10-12 13,6921.0,32.0
2016-10-12 14,6932.0,32.0
2016-10-12 15,6943.0,33.0
2016-10-12 16,6951.0,35.0
2016-10-12 17,6961.0,36.0
2016-10-12 18,6970.0,39.0
2016-10-12 19,6977.0,40.0
2016-10-12 20,6980.0,42.0
2016-10-12 21,6984.0,43.0
2016-10-12 22,6988.0,44.0
2016-10-12 23,6995.0,45.0
2016-10-13 00,7003.0,45.0
2016-10-13 01,7003.0,45.0
2016-10-13 02,7006.0,45.0
2016-10-13 03,7008.0,45.0
2016-10-13 04,7010.0,45.0
2016-10-13 05,7011.0,45.0
2016-10-13 06,7014.0,45.0
2016-10-13 07,7018.0,45.0
2016-10-13 08,7020.0,45.0
2016-10-13 09,7021.0,45.0
2016-10-13 10,7022.0,45.0
2016-10-13 11,7029.0,45.0
2016-10-13 12,7029.0,45.0
2016-10-13 13,7032.0,45.0
2016-10-13 14,7036.0,45.0
2016-10-13 15,7042.0,45.0
2016-10-13 16,7042.0,45.0
2016-10-13 17,7046.0,45.0
2016-10-13 18,7047.0,45.0
2016-10-13 19,7051.0,45.0
2016-10-13 20,7054.0,45.0
2016-10-13 21,7056.0,46.0
2016-10-13 22,7056.0,47.0
2016-10-13 23,7056.0,47.0
2016-10-14 00,7057.0,47.0
2016-10-14 01,7058.0,48.0
2016-10-14 02,7059.0,48.0
2016-10-14 03,7059.0,48.0
2016-10-14 04,7060.0,49.0
2016-10-14 05,7061.0,49.0
2016-10-14 06,7061.0,49.0
2016-10-14 07,7063.0,50.0
2016-10-14 08,7063.0,50.0
