Date,For,Against
2016-06-13 16,736.0,0.0
2016-06-13 17,1619.0,0.0
2016-06-13 18,2198.0,0.0
2016-06-13 19,2763.0,0.0
2016-06-13 20,3398.0,0.0
2016-06-13 21,3823.0,0.0
2016-06-13 22,4270.0,0.0
2016-06-13 23,4692.0,0.0
2016-06-14 00,5091.0,0.0
2016-06-14 01,5355.0,0.0
2016-06-14 02,5566.0,0.0
2016-06-14 03,5792.0,0.0
2016-06-14 04,5931.0,0.0
2016-06-14 05,6044.0,0.0
2016-06-14 06,6113.0,0.0
2016-06-14 07,6148.0,0.0
2016-06-14 08,6188.0,0.0
2016-06-14 09,6236.0,0.0
2016-06-14 10,6280.0,0.0
2016-06-14 11,6324.0,0.0
2016-06-14 12,6430.0,0.0
2016-06-14 13,6577.0,0.0
2016-06-14 14,6684.0,0.0
2016-06-14 15,6744.0,0.0
2016-06-14 16,6827.0,0.0
2016-06-14 17,6897.0,0.0
2016-06-14 18,6956.0,0.0
2016-06-14 19,7015.0,0.0
2016-06-14 20,7050.0,0.0
2016-06-14 21,7097.0,0.0
2016-06-14 22,7136.0,0.0
2016-06-14 23,7154.0,0.0
2016-06-15 00,7176.0,0.0
2016-06-15 01,7198.0,0.0
2016-06-15 02,7212.0,0.0
2016-06-15 03,7241.0,0.0
2016-06-15 04,7285.0,0.0
2016-06-15 05,7315.0,0.0
2016-06-15 06,7336.0,0.0
2016-06-15 07,7343.0,0.0
2016-06-15 08,7348.0,0.0
2016-06-15 09,7351.0,0.0
2016-06-15 10,7357.0,0.0
2016-06-15 11,7370.0,0.0
2016-06-15 12,7395.0,0.0
2016-06-15 13,7417.0,0.0
2016-06-15 14,7439.0,0.0
2016-06-15 15,7481.0,0.0
2016-06-15 16,7512.0,0.0
2016-06-15 17,7526.0,0.0
2016-06-15 18,7535.0,0.0
2016-06-15 19,7557.0,0.0
2016-06-15 20,7567.0,0.0
2016-06-15 21,7580.0,0.0
2016-06-15 22,7587.0,0.0
2016-06-15 23,7594.0,0.0
2016-06-16 00,7604.0,0.0
2016-06-16 01,7618.0,0.0
2016-06-16 02,7623.0,0.0
2016-06-16 03,7631.0,0.0
2016-06-16 04,7632.0,0.0
2016-06-16 05,7632.0,0.0
2016-06-16 06,7634.0,0.0
2016-06-16 07,7637.0,0.0
2016-06-16 08,7638.0,0.0
2016-06-16 09,7639.0,0.0
2016-06-16 10,7641.0,0.0
2016-06-16 11,7642.0,0.0
2016-06-16 12,7648.0,0.0
2016-06-16 13,7650.0,0.0
2016-06-16 14,7652.0,0.0
2016-06-16 15,7663.0,0.0
2016-06-16 16,7664.0,0.0
2016-06-16 17,7669.0,0.0
2016-06-16 18,7669.0,0.0
2016-06-16 19,7679.0,0.0
2016-06-16 20,7682.0,0.0
2016-06-16 21,7698.0,0.0
2016-06-16 22,7704.0,0.0
2016-06-16 23,7708.0,0.0
2016-06-17 00,7711.0,0.0
2016-06-17 01,7716.0,0.0
2016-06-17 02,7719.0,0.0
2016-06-17 03,7725.0,0.0
2016-06-17 04,7727.0,0.0
2016-06-17 05,7730.0,0.0
2016-06-17 06,7731.0,0.0
2016-06-17 07,7731.0,0.0
2016-06-17 08,7731.0,0.0
2016-06-17 09,7731.0,0.0
2016-06-17 10,7732.0,0.0
2016-06-17 11,7734.0,0.0
2016-06-17 12,7734.0,0.0
2016-06-17 13,7734.0,0.0
2016-06-17 14,7736.0,0.0
2016-06-17 15,7758.0,0.0
2016-06-17 16,7762.0,0.0
2016-06-17 17,7767.0,0.0
2016-06-17 18,7771.0,0.0
2016-06-17 19,7779.0,0.0
2016-06-17 20,7780.0,0.0
2016-06-17 21,7780.0,0.0
2016-06-17 22,7786.0,0.0
2016-06-17 23,7788.0,0.0
2016-06-18 00,7788.0,0.0
2016-06-18 01,7791.0,0.0
2016-06-18 02,7799.0,0.0
2016-06-18 03,7801.0,0.0
2016-06-18 04,7802.0,0.0
2016-06-18 05,7802.0,0.0
2016-06-18 06,7803.0,0.0
2016-06-18 07,7805.0,0.0
2016-06-18 08,7805.0,0.0
2016-06-18 09,7806.0,0.0
2016-06-18 10,7807.0,0.0
2016-06-18 11,7808.0,0.0
2016-06-18 12,7811.0,0.0
2016-06-18 13,7812.0,0.0
2016-06-18 14,7813.0,0.0
2016-06-18 15,7813.0,0.0
2016-06-18 16,7813.0,0.0
2016-06-18 17,7813.0,0.0
2016-06-18 18,7814.0,0.0
2016-06-18 19,7815.0,0.0
2016-06-18 20,7816.0,0.0
2016-06-18 21,7817.0,0.0
2016-06-18 22,7817.0,0.0
2016-06-18 23,7821.0,0.0
2016-06-19 00,7821.0,0.0
2016-06-19 01,7823.0,0.0
2016-06-19 02,7826.0,0.0
2016-06-19 03,7827.0,0.0
2016-06-19 04,7827.0,0.0
2016-06-19 05,7832.0,0.0
2016-06-19 06,7832.0,0.0
2016-06-19 07,7832.0,0.0
2016-06-19 08,7832.0,0.0
2016-06-19 09,7832.0,0.0
2016-06-19 10,7832.0,0.0
2016-06-19 11,7832.0,0.0
2016-06-19 12,7832.0,0.0
2016-06-19 13,7833.0,0.0
2016-06-19 14,7833.0,0.0
2016-06-19 15,7834.0,0.0
2016-06-19 16,7835.0,0.0
2016-06-19 17,7835.0,0.0
2016-06-19 18,7835.0,0.0
2016-06-19 19,7837.0,0.0
2016-06-19 20,7838.0,0.0
2016-06-19 21,7838.0,0.0
2016-06-19 22,7840.0,0.0
2016-06-19 23,7840.0,0.0
2016-06-20 00,7840.0,0.0
2016-06-20 01,7846.0,0.0
2016-06-20 02,7848.0,0.0
2016-06-20 03,7848.0,0.0
2016-06-20 04,7848.0,0.0
2016-06-20 05,7848.0,0.0
2016-06-20 06,7848.0,0.0
2016-06-20 07,7848.0,0.0
2016-06-20 08,7848.0,0.0
2016-06-20 09,7849.0,0.0
2016-06-20 10,7850.0,0.0
2016-06-20 11,7850.0,0.0
2016-06-20 12,7856.0,0.0
2016-06-20 13,7857.0,0.0
2016-06-20 14,7858.0,0.0
2016-06-20 15,7858.0,0.0
2016-06-20 16,7858.0,0.0
2016-06-20 17,7858.0,0.0
2016-06-20 18,7858.0,0.0
2016-06-20 19,7858.0,0.0
2016-06-20 20,7859.0,0.0
2016-06-20 21,7860.0,0.0
2016-06-20 22,7861.0,0.0
2016-06-20 23,7861.0,0.0
2016-06-21 00,7861.0,0.0
2016-06-21 01,7866.0,0.0
2016-06-21 02,7866.0,0.0
2016-06-21 03,7866.0,0.0
2016-06-21 04,7866.0,0.0
2016-06-21 05,7866.0,0.0
2016-06-21 06,7867.0,0.0
2016-06-21 07,7870.0,0.0
2016-06-21 08,7871.0,0.0
2016-06-21 09,7871.0,0.0
2016-06-21 10,7871.0,0.0
2016-06-21 11,7871.0,0.0
2016-06-21 12,7871.0,0.0
2016-06-21 13,7871.0,0.0
2016-06-21 14,7871.0,0.0
2016-06-21 15,7872.0,0.0
2016-06-21 16,7872.0,0.0
2016-06-21 17,7873.0,0.0
2016-06-21 18,7874.0,0.0
2016-06-21 19,7874.0,0.0
2016-06-21 20,7875.0,0.0
2016-06-21 21,7876.0,0.0
2016-06-21 22,7878.0,0.0
2016-06-21 23,7879.0,0.0
2016-06-22 00,7879.0,0.0
2016-06-22 01,7879.0,0.0
2016-06-22 02,7879.0,0.0
2016-06-22 03,7881.0,0.0
2016-06-22 04,7881.0,0.0
2016-06-22 05,7881.0,0.0
2016-06-22 06,7881.0,0.0
2016-06-22 07,7881.0,0.0
2016-06-22 08,7882.0,0.0
2016-06-22 09,7882.0,0.0
2016-06-22 10,7882.0,0.0
2016-06-22 11,7882.0,0.0
2016-06-22 12,7882.0,0.0
2016-06-22 13,7883.0,0.0
2016-06-22 14,7884.0,0.0
2016-06-22 15,7884.0,0.0
2016-06-22 16,7884.0,0.0
2016-06-22 17,7884.0,0.0
2016-06-22 18,7884.0,0.0
2016-06-22 19,7884.0,0.0
2016-06-22 20,7884.0,0.0
2016-06-22 21,7884.0,0.0
2016-06-22 22,7884.0,0.0
2016-06-22 23,7884.0,0.0
2016-06-23 00,7884.0,0.0
2016-06-23 01,7884.0,0.0
2016-06-23 02,7884.0,0.0
2016-06-23 03,7884.0,0.0
2016-06-23 04,7884.0,0.0
2016-06-23 05,7884.0,0.0
2016-06-23 06,7886.0,0.0
2016-06-23 07,7886.0,0.0
2016-06-23 08,7886.0,0.0
2016-06-23 09,7886.0,0.0
2016-06-23 10,7886.0,0.0
2016-06-23 11,7886.0,0.0
2016-06-23 12,7886.0,0.0
2016-06-23 13,7886.0,0.0
2016-06-23 14,7886.0,0.0
2016-06-23 15,7886.0,0.0
2016-06-23 16,7886.0,0.0
2016-06-23 17,7886.0,0.0
2016-06-23 18,7886.0,0.0
2016-06-23 19,7886.0,0.0
2016-06-23 20,7886.0,0.0
2016-06-23 21,7886.0,0.0
2016-06-23 22,7886.0,0.0
2016-06-23 23,7886.0,0.0
2016-06-24 00,7886.0,0.0
2016-06-24 01,7886.0,0.0
2016-06-24 02,7886.0,0.0
2016-06-24 03,7888.0,0.0
2016-06-24 04,7889.0,0.0
2016-06-24 05,7889.0,0.0
2016-06-24 06,7889.0,0.0
2016-06-24 07,7889.0,0.0
2016-06-24 08,7889.0,0.0
2016-06-24 09,7889.0,0.0
2016-06-24 10,7889.0,0.0
2016-06-24 11,7890.0,0.0
2016-06-24 12,7891.0,0.0
2016-06-24 13,7891.0,0.0
2016-06-24 14,7891.0,0.0
2016-06-24 15,7891.0,0.0
2016-06-24 16,7891.0,0.0
2016-06-24 17,7891.0,0.0
2016-06-24 18,7891.0,0.0
2016-06-24 19,7891.0,0.0
2016-06-24 20,7891.0,0.0
2016-06-24 21,7893.0,0.0
2016-06-24 22,7893.0,0.0
2016-06-24 23,7894.0,0.0
2016-06-25 00,7894.0,0.0
2016-06-25 01,7894.0,0.0
2016-06-25 02,7894.0,0.0
2016-06-25 03,7895.0,0.0
2016-06-25 04,7897.0,0.0
2016-06-25 05,7897.0,0.0
2016-06-25 06,7897.0,0.0
2016-06-25 07,7897.0,0.0
2016-06-25 08,7897.0,0.0
2016-06-25 09,7897.0,0.0
2016-06-25 10,7898.0,0.0
2016-06-25 11,7898.0,0.0
2016-06-25 12,7898.0,0.0
2016-06-25 13,7898.0,0.0
2016-06-25 14,7898.0,0.0
2016-06-25 15,7898.0,0.0
2016-06-25 16,7898.0,0.0
2016-06-25 17,7898.0,0.0
2016-06-25 18,7898.0,0.0
2016-06-25 19,7899.0,0.0
2016-06-25 20,7900.0,0.0
2016-06-25 21,7900.0,0.0
2016-06-25 22,7900.0,0.0
2016-06-25 23,7900.0,0.0
2016-06-26 00,7900.0,0.0
2016-06-26 01,7900.0,0.0
2016-06-26 02,7900.0,0.0
2016-06-26 03,7900.0,0.0
2016-06-26 04,7900.0,0.0
2016-06-26 05,7900.0,0.0
2016-06-26 06,7900.0,0.0
2016-06-26 07,7900.0,0.0
2016-06-26 08,7900.0,0.0
2016-06-26 09,7900.0,0.0
2016-06-26 10,7900.0,0.0
2016-06-26 11,7900.0,0.0
2016-06-26 12,7900.0,0.0
2016-06-26 13,7900.0,0.0
2016-06-26 14,7900.0,0.0
2016-06-26 15,7900.0,0.0
2016-06-26 16,7900.0,0.0
2016-06-26 17,7900.0,0.0
2016-06-26 18,7900.0,0.0
2016-06-26 19,7900.0,0.0
2016-06-26 20,7900.0,0.0
2016-06-26 21,7900.0,0.0
2016-06-26 22,7900.0,0.0
2016-06-26 23,7900.0,0.0
2016-06-27 00,7900.0,0.0
