Date,For,Against
2016-09-28 19,137.0,0.0
2016-09-28 20,237.0,0.0
2016-09-28 21,298.0,0.0
2016-09-28 22,345.0,10.0
2016-09-28 23,673.0,18.0
2016-09-29 00,876.0,21.0
2016-09-29 01,990.0,35.0
2016-09-29 02,1092.0,43.0
2016-09-29 03,1243.0,45.0
2016-09-29 04,1440.0,49.0
2016-09-29 05,1528.0,49.0
2016-09-29 06,1596.0,49.0
2016-09-29 07,1633.0,49.0
2016-09-29 08,1664.0,49.0
2016-09-29 09,1693.0,49.0
2016-09-29 10,1734.0,50.0
2016-09-29 11,1776.0,50.0
2016-09-29 12,1833.0,57.0
2016-09-29 13,1870.0,60.0
2016-09-29 14,1897.0,62.0
2016-09-29 15,1977.0,67.0
2016-09-29 16,2207.0,73.0
2016-09-29 17,2285.0,79.0
2016-09-29 18,2368.0,83.0
2016-09-29 19,2433.0,85.0
2016-09-29 20,2485.0,86.0
2016-09-29 21,2548.0,88.0
2016-09-29 22,2633.0,91.0
2016-09-29 23,2692.0,93.0
2016-09-30 00,2789.0,96.0
2016-09-30 01,2824.0,100.0
2016-09-30 02,2849.0,101.0
2016-09-30 03,2869.0,104.0
2016-09-30 04,2891.0,104.0
2016-09-30 05,2901.0,104.0
2016-09-30 06,2905.0,105.0
2016-09-30 07,2909.0,106.0
2016-09-30 08,2913.0,106.0
2016-09-30 09,2917.0,108.0
2016-09-30 10,2924.0,108.0
2016-09-30 11,2928.0,109.0
2016-09-30 12,2938.0,109.0
2016-09-30 13,2948.0,110.0
2016-09-30 14,2958.0,118.0
2016-09-30 15,2969.0,119.0
2016-09-30 16,2972.0,123.0
2016-09-30 17,2976.0,123.0
2016-09-30 18,2977.0,123.0
2016-09-30 19,2977.0,123.0
2016-09-30 20,2977.0,123.0
2016-09-30 21,2977.0,123.0
2016-09-30 22,2977.0,123.0
2016-09-30 23,2977.0,123.0
2016-10-01 00,2977.0,123.0
2016-10-01 01,2977.0,123.0
2016-10-01 02,2977.0,123.0
2016-10-01 03,2977.0,123.0
2016-10-01 04,2977.0,123.0
2016-10-01 05,2977.0,123.0
2016-10-01 06,2977.0,123.0
2016-10-01 07,2977.0,123.0
2016-10-01 08,2977.0,123.0
2016-10-01 09,2977.0,123.0
2016-10-01 10,2977.0,123.0
