Date,For,Against
2016-07-27 21,0.0,2.0
2016-07-27 22,0.0,26.0
2016-07-27 23,0.0,46.0
2016-07-28 00,0.0,53.0
2016-07-28 01,0.0,68.0
2016-07-28 02,0.0,76.0
2016-07-28 03,0.0,84.0
2016-07-28 04,0.0,90.0
2016-07-28 05,0.0,94.0
2016-07-28 06,0.0,101.0
2016-07-28 07,0.0,105.0
2016-07-28 08,0.0,107.0
2016-07-28 09,0.0,111.0
2016-07-28 10,0.0,113.0
2016-07-28 11,412.0,115.0
2016-07-28 12,908.0,121.0
2016-07-28 13,2071.0,124.0
2016-07-28 14,2842.0,129.0
2016-07-28 15,3714.0,132.0
2016-07-28 16,4435.0,149.0
2016-07-28 17,4965.0,159.0
2016-07-28 18,5341.0,171.0
2016-07-28 19,5753.0,179.0
2016-07-28 20,6234.0,188.0
2016-07-28 21,6652.0,195.0
2016-07-28 22,6894.0,199.0
2016-07-28 23,7098.0,218.0
2016-07-29 00,7217.0,222.0
2016-07-29 01,7637.0,232.0
2016-07-29 02,7795.0,238.0
2016-07-29 03,7891.0,244.0
2016-07-29 04,7982.0,250.0
2016-07-29 05,8026.0,252.0
2016-07-29 06,8065.0,253.0
2016-07-29 07,8084.0,254.0
2016-07-29 08,8092.0,254.0
2016-07-29 09,8107.0,254.0
2016-07-29 10,8126.0,257.0
2016-07-29 11,8152.0,257.0
2016-07-29 12,8191.0,259.0
2016-07-29 13,8205.0,261.0
2016-07-29 14,8221.0,268.0
2016-07-29 15,8256.0,272.0
2016-07-29 16,8291.0,275.0
2016-07-29 17,8299.0,280.0
2016-07-29 18,8334.0,282.0
2016-07-29 19,8392.0,284.0
2016-07-29 20,8400.0,285.0
2016-07-29 21,8411.0,287.0
2016-07-29 22,8424.0,290.0
2016-07-29 23,8430.0,291.0
2016-07-30 00,8437.0,291.0
2016-07-30 01,8445.0,291.0
2016-07-30 02,8451.0,291.0
2016-07-30 03,8454.0,291.0
2016-07-30 04,8458.0,291.0
2016-07-30 05,8461.0,292.0
2016-07-30 06,8462.0,292.0
2016-07-30 07,8463.0,292.0
2016-07-30 08,8466.0,292.0
2016-07-30 09,8467.0,292.0
2016-07-30 10,8468.0,292.0
2016-07-30 11,8470.0,292.0
2016-07-30 12,8480.0,292.0
2016-07-30 13,8487.0,292.0
2016-07-30 14,8491.0,292.0
2016-07-30 15,8497.0,293.0
2016-07-30 16,8502.0,295.0
2016-07-30 17,8505.0,295.0
2016-07-30 18,8508.0,296.0
2016-07-30 19,8514.0,296.0
2016-07-30 20,8516.0,297.0
2016-07-30 21,8518.0,297.0
2016-07-30 22,8518.0,297.0
2016-07-30 23,8519.0,297.0
2016-07-31 00,8520.0,297.0
2016-07-31 01,8523.0,297.0
2016-07-31 02,8524.0,297.0
2016-07-31 03,8525.0,297.0
2016-07-31 04,8525.0,297.0
2016-07-31 05,8527.0,297.0
2016-07-31 06,8529.0,297.0
2016-07-31 07,8533.0,297.0
2016-07-31 08,8533.0,297.0
2016-07-31 09,8534.0,298.0
2016-07-31 10,8534.0,298.0
2016-07-31 11,8534.0,298.0
2016-07-31 12,8534.0,298.0
2016-07-31 13,8534.0,298.0
2016-07-31 14,8535.0,298.0
2016-07-31 15,8535.0,299.0
2016-07-31 16,8537.0,299.0
2016-07-31 17,8540.0,299.0
2016-07-31 18,8540.0,299.0
2016-07-31 19,8542.0,300.0
2016-07-31 20,8544.0,302.0
2016-07-31 21,8545.0,304.0
2016-07-31 22,8554.0,304.0
2016-07-31 23,8565.0,304.0
2016-08-01 00,8566.0,305.0
2016-08-01 01,8567.0,306.0
2016-08-01 02,8567.0,306.0
2016-08-01 03,8567.0,307.0
2016-08-01 04,8568.0,307.0
2016-08-01 05,8569.0,307.0
2016-08-01 06,8570.0,307.0
2016-08-01 07,8570.0,307.0
2016-08-01 08,8572.0,307.0
2016-08-01 09,8573.0,307.0
2016-08-01 10,8573.0,307.0
2016-08-01 11,8573.0,307.0
2016-08-01 12,8573.0,307.0
2016-08-01 13,8573.0,307.0
2016-08-01 14,8574.0,307.0
2016-08-01 15,8574.0,307.0
2016-08-01 16,8575.0,307.0
2016-08-01 17,8577.0,307.0
2016-08-01 18,8577.0,307.0
2016-08-01 19,8578.0,307.0
2016-08-01 20,8580.0,307.0
2016-08-01 21,8580.0,307.0
2016-08-01 22,8581.0,307.0
2016-08-01 23,8581.0,307.0
2016-08-02 00,8582.0,307.0
