Date,For,Against
2016-07-26 12,8.0,0.0
2016-07-26 13,14.0,0.0
2016-07-26 14,18.0,0.0
2016-07-26 15,28.0,55.0
2016-07-26 16,38.0,131.0
2016-07-26 17,45.0,202.0
2016-07-26 18,47.0,273.0
2016-07-26 19,49.0,327.0
2016-07-26 20,55.0,379.0
2016-07-26 21,59.0,408.0
2016-07-26 22,66.0,456.0
2016-07-26 23,75.0,542.0
2016-07-27 00,80.0,580.0
2016-07-27 01,95.0,621.0
2016-07-27 02,98.0,650.0
2016-07-27 03,109.0,670.0
2016-07-27 04,113.0,688.0
2016-07-27 05,114.0,698.0
2016-07-27 06,114.0,713.0
2016-07-27 07,114.0,716.0
2016-07-27 08,115.0,719.0
2016-07-27 09,115.0,720.0
2016-07-27 10,115.0,726.0
2016-07-27 11,116.0,738.0
2016-07-27 12,117.0,750.0
2016-07-27 13,117.0,836.0
2016-07-27 14,118.0,924.0
2016-07-27 15,119.0,995.0
2016-07-27 16,120.0,1056.0
2016-07-27 17,123.0,1109.0
2016-07-27 18,125.0,1145.0
2016-07-27 19,125.0,1172.0
2016-07-27 20,126.0,1192.0
2016-07-27 21,126.0,1202.0
2016-07-27 22,126.0,1220.0
2016-07-27 23,128.0,1229.0
2016-07-28 00,128.0,1244.0
2016-07-28 01,128.0,1259.0
2016-07-28 02,129.0,1272.0
2016-07-28 03,129.0,1277.0
2016-07-28 04,129.0,1285.0
2016-07-28 05,129.0,1286.0
2016-07-28 06,129.0,1286.0
2016-07-28 07,131.0,1289.0
2016-07-28 08,131.0,1292.0
2016-07-28 09,131.0,1292.0
2016-07-28 10,131.0,1297.0
2016-07-28 11,131.0,1300.0
2016-07-28 12,134.0,1306.0
2016-07-28 13,134.0,1311.0
2016-07-28 14,134.0,1318.0
2016-07-28 15,134.0,1322.0
2016-07-28 16,135.0,1331.0
2016-07-28 17,135.0,1337.0
2016-07-28 18,135.0,1343.0
2016-07-28 19,135.0,1352.0
2016-07-28 20,135.0,1360.0
2016-07-28 21,135.0,1366.0
2016-07-28 22,135.0,1369.0
2016-07-28 23,135.0,1370.0
2016-07-29 00,135.0,1373.0
2016-07-29 01,135.0,1378.0
2016-07-29 02,135.0,1382.0
2016-07-29 03,135.0,1389.0
2016-07-29 04,135.0,1395.0
2016-07-29 05,135.0,1395.0
2016-07-29 06,135.0,1396.0
2016-07-29 07,135.0,1396.0
2016-07-29 08,135.0,1397.0
2016-07-29 09,135.0,1397.0
2016-07-29 10,135.0,1397.0
2016-07-29 11,135.0,1399.0
2016-07-29 12,135.0,1401.0
2016-07-29 13,135.0,1402.0
2016-07-29 14,135.0,1403.0
2016-07-29 15,135.0,1405.0
2016-07-29 16,135.0,1406.0
2016-07-29 17,135.0,1407.0
2016-07-29 18,135.0,1409.0
2016-07-29 19,135.0,1411.0
2016-07-29 20,135.0,1414.0
2016-07-29 21,135.0,1414.0
2016-07-29 22,135.0,1415.0
2016-07-29 23,135.0,1416.0
2016-07-30 00,135.0,1417.0
2016-07-30 01,135.0,1418.0
2016-07-30 02,135.0,1418.0
2016-07-30 03,135.0,1419.0
2016-07-30 04,135.0,1419.0
2016-07-30 05,135.0,1419.0
2016-07-30 06,135.0,1420.0
2016-07-30 07,135.0,1420.0
2016-07-30 08,135.0,1420.0
2016-07-30 09,135.0,1420.0
2016-07-30 10,135.0,1420.0
2016-07-30 11,135.0,1420.0
2016-07-30 12,135.0,1420.0
2016-07-30 13,135.0,1420.0
2016-07-30 14,135.0,1420.0
2016-07-30 15,135.0,1421.0
2016-07-30 16,135.0,1421.0
2016-07-30 17,135.0,1424.0
2016-07-30 18,135.0,1427.0
2016-07-30 19,135.0,1427.0
2016-07-30 20,135.0,1429.0
2016-07-30 21,135.0,1429.0
2016-07-30 22,135.0,1430.0
2016-07-30 23,135.0,1431.0
2016-07-31 00,135.0,1432.0
2016-07-31 01,135.0,1432.0
2016-07-31 02,135.0,1432.0
2016-07-31 03,135.0,1433.0
2016-07-31 04,135.0,1434.0
2016-07-31 05,135.0,1434.0
2016-07-31 06,135.0,1434.0
2016-07-31 07,135.0,1434.0
2016-07-31 08,135.0,1434.0
2016-07-31 09,135.0,1434.0
2016-07-31 10,135.0,1434.0
2016-07-31 11,135.0,1434.0
2016-07-31 12,135.0,1434.0
2016-07-31 13,135.0,1434.0
2016-07-31 14,135.0,1435.0
2016-07-31 15,135.0,1442.0
2016-07-31 16,135.0,1444.0
2016-07-31 17,135.0,1444.0
2016-07-31 18,135.0,1444.0
2016-07-31 19,135.0,1446.0
2016-07-31 20,135.0,1449.0
2016-07-31 21,135.0,1450.0
2016-07-31 22,135.0,1450.0
2016-07-31 23,135.0,1450.0
2016-08-01 00,135.0,1451.0
2016-08-01 01,135.0,1451.0
2016-08-01 02,135.0,1451.0
2016-08-01 03,135.0,1451.0
2016-08-01 04,135.0,1451.0
2016-08-01 05,135.0,1451.0
2016-08-01 06,135.0,1451.0
2016-08-01 07,135.0,1452.0
2016-08-01 08,135.0,1453.0
2016-08-01 09,135.0,1453.0
2016-08-01 10,135.0,1453.0
2016-08-01 11,135.0,1453.0
2016-08-01 12,135.0,1454.0
2016-08-01 13,135.0,1454.0
2016-08-01 14,135.0,1454.0
2016-08-01 15,135.0,1454.0
2016-08-01 16,136.0,1454.0
2016-08-01 17,136.0,1454.0
2016-08-01 18,136.0,1454.0
2016-08-01 19,136.0,1454.0
2016-08-01 20,136.0,1454.0
2016-08-01 21,136.0,1454.0
2016-08-01 22,136.0,1456.0
2016-08-01 23,136.0,1456.0
2016-08-02 00,136.0,1456.0
2016-08-02 01,136.0,1457.0
2016-08-02 02,136.0,1457.0
2016-08-02 03,136.0,1457.0
2016-08-02 04,136.0,1457.0
2016-08-02 05,136.0,1457.0
2016-08-02 06,136.0,1457.0
2016-08-02 07,136.0,1457.0
2016-08-02 08,136.0,1457.0
2016-08-02 09,136.0,1457.0
2016-08-02 10,136.0,1457.0
2016-08-02 11,136.0,1457.0
2016-08-02 12,136.0,1457.0
2016-08-02 13,136.0,1457.0
2016-08-02 14,136.0,1457.0
2016-08-02 15,136.0,1458.0
2016-08-02 16,136.0,1458.0
2016-08-02 17,136.0,1458.0
2016-08-02 18,136.0,1458.0
2016-08-02 19,136.0,1458.0
2016-08-02 20,136.0,1458.0
2016-08-02 21,136.0,1458.0
2016-08-02 22,136.0,1458.0
2016-08-02 23,136.0,1458.0
2016-08-03 00,136.0,1458.0
2016-08-03 01,136.0,1458.0
2016-08-03 02,136.0,1458.0
2016-08-03 03,136.0,1458.0
2016-08-03 04,136.0,1458.0
2016-08-03 05,136.0,1459.0
2016-08-03 06,136.0,1459.0
2016-08-03 07,136.0,1459.0
2016-08-03 08,136.0,1459.0
2016-08-03 09,136.0,1459.0
2016-08-03 10,136.0,1459.0
2016-08-03 11,136.0,1459.0
2016-08-03 12,136.0,1459.0
2016-08-03 13,136.0,1459.0
2016-08-03 14,136.0,1459.0
2016-08-03 15,136.0,1459.0
2016-08-03 16,136.0,1459.0
2016-08-03 17,136.0,1459.0
2016-08-03 18,136.0,1459.0
2016-08-03 19,136.0,1459.0
2016-08-03 20,136.0,1459.0
2016-08-03 21,136.0,1459.0
2016-08-03 22,136.0,1459.0
2016-08-03 23,136.0,1459.0
2016-08-04 00,136.0,1459.0
2016-08-04 01,136.0,1459.0
2016-08-04 02,136.0,1459.0
2016-08-04 03,136.0,1459.0
2016-08-04 04,136.0,1459.0
2016-08-04 05,136.0,1462.0
2016-08-04 06,136.0,1462.0
2016-08-04 07,136.0,1462.0
2016-08-04 08,136.0,1462.0
2016-08-04 09,136.0,1462.0
2016-08-04 10,136.0,1462.0
2016-08-04 11,136.0,1462.0
2016-08-04 12,136.0,1462.0
2016-08-04 13,136.0,1462.0
2016-08-04 14,136.0,1462.0
2016-08-04 15,136.0,1462.0
2016-08-04 16,136.0,1462.0
2016-08-04 17,136.0,1462.0
2016-08-04 18,136.0,1462.0
2016-08-04 19,136.0,1462.0
2016-08-04 20,136.0,1462.0
2016-08-04 21,136.0,1462.0
2016-08-04 22,136.0,1462.0
2016-08-04 23,136.0,1462.0
2016-08-05 00,136.0,1462.0
2016-08-05 01,136.0,1462.0
2016-08-05 02,136.0,1462.0
2016-08-05 03,136.0,1463.0
2016-08-05 04,136.0,1464.0
2016-08-05 05,136.0,1464.0
2016-08-05 06,136.0,1464.0
2016-08-05 07,136.0,1464.0
2016-08-05 08,136.0,1464.0
2016-08-05 09,136.0,1464.0
2016-08-05 10,136.0,1464.0
2016-08-05 11,136.0,1464.0
2016-08-05 12,136.0,1464.0
2016-08-05 13,136.0,1464.0
2016-08-05 14,136.0,1464.0
2016-08-05 15,136.0,1464.0
2016-08-05 16,136.0,1464.0
2016-08-05 17,136.0,1464.0
2016-08-05 18,136.0,1464.0
2016-08-05 19,136.0,1464.0
2016-08-05 20,136.0,1466.0
2016-08-05 21,136.0,1469.0
2016-08-05 22,136.0,1470.0
2016-08-05 23,136.0,1470.0
2016-08-06 00,136.0,1470.0
2016-08-06 01,136.0,1470.0
2016-08-06 02,136.0,1470.0
2016-08-06 03,136.0,1470.0
2016-08-06 04,136.0,1470.0
2016-08-06 05,136.0,1470.0
2016-08-06 06,136.0,1470.0
2016-08-06 07,136.0,1470.0
2016-08-06 08,136.0,1470.0
2016-08-06 09,136.0,1470.0
2016-08-06 10,136.0,1470.0
2016-08-06 11,136.0,1470.0
2016-08-06 12,136.0,1470.0
2016-08-06 13,136.0,1470.0
2016-08-06 14,136.0,1470.0
2016-08-06 15,136.0,1470.0
2016-08-06 16,136.0,1470.0
2016-08-06 17,136.0,1470.0
2016-08-06 18,136.0,1470.0
2016-08-06 19,136.0,1470.0
2016-08-06 20,136.0,1470.0
2016-08-06 21,136.0,1470.0
2016-08-06 22,136.0,1470.0
2016-08-06 23,136.0,1471.0
2016-08-07 00,136.0,1471.0
2016-08-07 01,136.0,1471.0
2016-08-07 02,136.0,1471.0
2016-08-07 03,136.0,1471.0
2016-08-07 04,136.0,1471.0
2016-08-07 05,136.0,1471.0
2016-08-07 06,136.0,1471.0
2016-08-07 07,136.0,1471.0
2016-08-07 08,136.0,1471.0
2016-08-07 09,136.0,1471.0
2016-08-07 10,136.0,1471.0
2016-08-07 11,136.0,1471.0
2016-08-07 12,136.0,1471.0
2016-08-07 13,136.0,1471.0
2016-08-07 14,136.0,1471.0
2016-08-07 15,136.0,1471.0
2016-08-07 16,136.0,1471.0
2016-08-07 17,136.0,1471.0
2016-08-07 18,136.0,1471.0
2016-08-07 19,136.0,1471.0
2016-08-07 20,136.0,1471.0
2016-08-07 21,136.0,1471.0
2016-08-07 22,136.0,1471.0
2016-08-07 23,136.0,1474.0
2016-08-08 00,136.0,1474.0
2016-08-08 01,136.0,1474.0
2016-08-08 02,136.0,1474.0
2016-08-08 03,136.0,1474.0
2016-08-08 04,136.0,1474.0
2016-08-08 05,136.0,1474.0
2016-08-08 06,136.0,1474.0
2016-08-08 07,136.0,1474.0
2016-08-08 08,136.0,1474.0
2016-08-08 09,136.0,1474.0
2016-08-08 10,136.0,1474.0
2016-08-08 11,136.0,1474.0
2016-08-08 12,136.0,1474.0
2016-08-08 13,136.0,1474.0
2016-08-08 14,136.0,1474.0
2016-08-08 15,136.0,1475.0
2016-08-08 16,136.0,1475.0
2016-08-08 17,136.0,1475.0
2016-08-08 18,136.0,1475.0
2016-08-08 19,136.0,1475.0
2016-08-08 20,136.0,1475.0
2016-08-08 21,136.0,1475.0
2016-08-08 22,136.0,1475.0
2016-08-08 23,136.0,1475.0
2016-08-09 00,136.0,1475.0
2016-08-09 01,136.0,1475.0
2016-08-09 02,136.0,1475.0
2016-08-09 03,136.0,1475.0
2016-08-09 04,136.0,1475.0
2016-08-09 05,136.0,1475.0
2016-08-09 06,136.0,1475.0
2016-08-09 07,136.0,1475.0
2016-08-09 08,136.0,1475.0
2016-08-09 09,136.0,1475.0
2016-08-09 10,136.0,1475.0
2016-08-09 11,136.0,1475.0
2016-08-09 12,136.0,1476.0
2016-08-09 13,136.0,1477.0
2016-08-09 14,136.0,1477.0
2016-08-09 15,136.0,1477.0
2016-08-09 16,136.0,1477.0
2016-08-09 17,136.0,1477.0
2016-08-09 18,136.0,1478.0
2016-08-09 19,136.0,1478.0
2016-08-09 20,136.0,1478.0
2016-08-09 21,136.0,1478.0
2016-08-09 22,136.0,1478.0
2016-08-09 23,136.0,1478.0
2016-08-10 00,136.0,1478.0
2016-08-10 01,136.0,1478.0
2016-08-10 02,136.0,1478.0
2016-08-10 03,136.0,1478.0
2016-08-10 04,136.0,1478.0
2016-08-10 05,136.0,1478.0
2016-08-10 06,136.0,1478.0
2016-08-10 07,136.0,1478.0
2016-08-10 08,136.0,1478.0
2016-08-10 09,136.0,1478.0
2016-08-10 10,136.0,1478.0
2016-08-10 11,136.0,1478.0
2016-08-10 12,136.0,1478.0
2016-08-10 13,136.0,1478.0
2016-08-10 14,136.0,1478.0
2016-08-10 15,136.0,1478.0
2016-08-10 16,136.0,1478.0
2016-08-10 17,136.0,1478.0
2016-08-10 18,136.0,1478.0
2016-08-10 19,136.0,1478.0
2016-08-10 20,136.0,1478.0
2016-08-10 21,136.0,1478.0
2016-08-10 22,136.0,1478.0
2016-08-10 23,136.0,1478.0
2016-08-11 00,136.0,1478.0
2016-08-11 01,136.0,1478.0
2016-08-11 02,136.0,1478.0
2016-08-11 03,136.0,1478.0
2016-08-11 04,136.0,1478.0
2016-08-11 05,136.0,1478.0
2016-08-11 06,136.0,1478.0
2016-08-11 07,136.0,1478.0
2016-08-11 08,136.0,1478.0
2016-08-11 09,136.0,1478.0
