Date,For,Against
2016-05-16 07,0.0,1.0
2016-05-16 08,0.0,1.0
2016-05-16 09,0.0,1.0
2016-05-16 10,0.0,1.0
2016-05-16 11,0.0,1.0
2016-05-16 12,0.0,1.0
2016-05-16 13,0.0,1.0
2016-05-16 14,0.0,1.0
2016-05-16 15,0.0,2.0
2016-05-16 16,0.0,2.0
2016-05-16 17,0.0,2.0
2016-05-16 18,0.0,4.0
2016-05-16 19,0.0,4.0
2016-05-16 20,0.0,4.0
2016-05-16 21,0.0,5.0
2016-05-16 22,0.0,6.0
2016-05-16 23,0.0,6.0
2016-05-17 00,0.0,6.0
2016-05-17 01,0.0,8.0
2016-05-17 02,0.0,8.0
2016-05-17 03,0.0,9.0
2016-05-17 04,0.0,10.0
2016-05-17 05,0.0,10.0
2016-05-17 06,0.0,10.0
2016-05-17 07,0.0,10.0
2016-05-17 08,0.0,10.0
2016-05-17 09,0.0,10.0
2016-05-17 10,0.0,10.0
2016-05-17 11,0.0,10.0
2016-05-17 12,0.0,10.0
2016-05-17 13,0.0,12.0
2016-05-17 14,0.0,12.0
2016-05-17 15,0.0,13.0
2016-05-17 16,0.0,14.0
2016-05-17 17,0.0,16.0
2016-05-17 18,1.0,20.0
2016-05-17 19,1.0,20.0
2016-05-17 20,1.0,20.0
2016-05-17 21,1.0,20.0
2016-05-17 22,1.0,22.0
2016-05-17 23,1.0,23.0
2016-05-18 00,1.0,25.0
2016-05-18 01,1.0,25.0
2016-05-18 02,1.0,25.0
2016-05-18 03,1.0,26.0
2016-05-18 04,1.0,27.0
2016-05-18 05,1.0,27.0
2016-05-18 06,1.0,28.0
2016-05-18 07,1.0,29.0
2016-05-18 08,2.0,29.0
2016-05-18 09,3.0,30.0
2016-05-18 10,3.0,35.0
2016-05-18 11,3.0,37.0
2016-05-18 12,3.0,40.0
2016-05-18 13,3.0,41.0
2016-05-18 14,3.0,45.0
2016-05-18 15,3.0,45.0
2016-05-18 16,6.0,45.0
2016-05-18 17,9.0,46.0
2016-05-18 18,12.0,46.0
2016-05-18 19,12.0,46.0
2016-05-18 20,14.0,46.0
2016-05-18 21,14.0,50.0
