Date,For,Against
2016-08-10 19,0.0,10.0
2016-08-10 20,0.0,36.0
2016-08-10 21,0.0,46.0
2016-08-10 22,0.0,51.0
2016-08-10 23,0.0,53.0
2016-08-11 00,0.0,55.0
2016-08-11 01,0.0,58.0
2016-08-11 02,0.0,61.0
2016-08-11 03,0.0,64.0
2016-08-11 04,0.0,64.0
2016-08-11 05,0.0,67.0
2016-08-11 06,0.0,70.0
2016-08-11 07,0.0,70.0
2016-08-11 08,0.0,71.0
2016-08-11 09,0.0,72.0
2016-08-11 10,0.0,73.0
2016-08-11 11,0.0,73.0
2016-08-11 12,0.0,73.0
2016-08-11 13,0.0,74.0
2016-08-11 14,0.0,75.0
2016-08-11 15,0.0,77.0
2016-08-11 16,0.0,78.0
2016-08-11 17,0.0,79.0
2016-08-11 18,0.0,80.0
2016-08-11 19,0.0,81.0
2016-08-11 20,0.0,82.0
2016-08-11 21,0.0,83.0
2016-08-11 22,0.0,88.0
2016-08-11 23,0.0,89.0
2016-08-12 00,0.0,90.0
2016-08-12 01,0.0,91.0
2016-08-12 02,0.0,94.0
2016-08-12 03,0.0,96.0
2016-08-12 04,0.0,97.0
2016-08-12 05,0.0,101.0
2016-08-12 06,0.0,103.0
2016-08-12 07,0.0,104.0
2016-08-12 08,0.0,105.0
2016-08-12 09,0.0,106.0
2016-08-12 10,0.0,106.0
2016-08-12 11,0.0,108.0
2016-08-12 12,0.0,110.0
2016-08-12 13,0.0,110.0
2016-08-12 14,0.0,113.0
2016-08-12 15,0.0,117.0
2016-08-12 16,0.0,122.0
2016-08-12 17,0.0,125.0
2016-08-12 18,0.0,130.0
2016-08-12 19,0.0,136.0
2016-08-12 20,0.0,140.0
2016-08-12 21,0.0,143.0
2016-08-12 22,0.0,149.0
2016-08-12 23,0.0,151.0
2016-08-13 00,0.0,154.0
2016-08-13 01,0.0,158.0
2016-08-13 02,0.0,162.0
2016-08-13 03,0.0,166.0
2016-08-13 04,0.0,171.0
2016-08-13 05,0.0,172.0
2016-08-13 06,0.0,177.0
2016-08-13 07,0.0,178.0
2016-08-13 08,0.0,179.0
2016-08-13 09,0.0,179.0
2016-08-13 10,0.0,180.0
2016-08-13 11,0.0,181.0
2016-08-13 12,0.0,182.0
2016-08-13 13,0.0,185.0
2016-08-13 14,0.0,186.0
2016-08-13 15,0.0,187.0
2016-08-13 16,0.0,189.0
2016-08-13 17,0.0,189.0
2016-08-13 18,0.0,190.0
2016-08-13 19,0.0,191.0
2016-08-13 20,0.0,193.0
2016-08-13 21,0.0,196.0
2016-08-13 22,0.0,199.0
2016-08-13 23,0.0,199.0
2016-08-14 00,0.0,200.0
2016-08-14 01,0.0,201.0
2016-08-14 02,0.0,204.0
2016-08-14 03,0.0,208.0
2016-08-14 04,0.0,209.0
2016-08-14 05,0.0,211.0
2016-08-14 06,0.0,212.0
2016-08-14 07,0.0,212.0
2016-08-14 08,0.0,212.0
2016-08-14 09,0.0,212.0
