Date,For,Against
2016-09-08 11,602.0,0.0
2016-09-08 12,1847.0,0.0
2016-09-08 13,3487.0,0.0
2016-09-08 14,5632.0,0.0
2016-09-08 15,7515.0,0.0
2016-09-08 16,8764.0,0.0
2016-09-08 17,9582.0,0.0
2016-09-08 18,10456.0,0.0
2016-09-08 19,11046.0,30.0
2016-09-08 20,11550.0,91.0
2016-09-08 21,11939.0,137.0
2016-09-08 22,12299.0,183.0
2016-09-08 23,12538.0,235.0
2016-09-09 00,12816.0,272.0
2016-09-09 01,13126.0,325.0
2016-09-09 02,13314.0,366.0
2016-09-09 03,13449.0,381.0
2016-09-09 04,13582.0,396.0
2016-09-09 05,13646.0,403.0
2016-09-09 06,13694.0,415.0
2016-09-09 07,13721.0,423.0
2016-09-09 08,13753.0,424.0
2016-09-09 09,13779.0,431.0
2016-09-09 10,13813.0,437.0
2016-09-09 11,13852.0,452.0
2016-09-09 12,13894.0,454.0
2016-09-09 13,13950.0,463.0
2016-09-09 14,14004.0,472.0
2016-09-09 15,14041.0,475.0
2016-09-09 16,14088.0,483.0
2016-09-09 17,14124.0,487.0
2016-09-09 18,14136.0,501.0
2016-09-09 19,14161.0,507.0
2016-09-09 20,14181.0,514.0
2016-09-09 21,14199.0,517.0
2016-09-09 22,14230.0,522.0
2016-09-09 23,14243.0,526.0
2016-09-10 00,14267.0,527.0
2016-09-10 01,14284.0,531.0
2016-09-10 02,14305.0,539.0
2016-09-10 03,14325.0,541.0
2016-09-10 04,14335.0,542.0
2016-09-10 05,14345.0,545.0
2016-09-10 06,14347.0,545.0
2016-09-10 07,14355.0,545.0
2016-09-10 08,14359.0,546.0
2016-09-10 09,14362.0,546.0
2016-09-10 10,14367.0,546.0
2016-09-10 11,14369.0,547.0
2016-09-10 12,14369.0,548.0
2016-09-10 13,14373.0,550.0
2016-09-10 14,14381.0,552.0
2016-09-10 15,14387.0,553.0
2016-09-10 16,14400.0,555.0
2016-09-10 17,14412.0,556.0
2016-09-10 18,14417.0,557.0
2016-09-10 19,14419.0,558.0
2016-09-10 20,14427.0,559.0
2016-09-10 21,14433.0,561.0
2016-09-10 22,14436.0,562.0
2016-09-10 23,14440.0,563.0
2016-09-11 00,14445.0,564.0
2016-09-11 01,14456.0,566.0
2016-09-11 02,14465.0,568.0
2016-09-11 03,14468.0,570.0
2016-09-11 04,14471.0,570.0
2016-09-11 05,14474.0,571.0
2016-09-11 06,14476.0,572.0
2016-09-11 07,14479.0,572.0
2016-09-11 08,14480.0,573.0
2016-09-11 09,14480.0,573.0
2016-09-11 10,14480.0,573.0
2016-09-11 11,14480.0,574.0
2016-09-11 12,14481.0,574.0
2016-09-11 13,14489.0,575.0
2016-09-11 14,14492.0,578.0
2016-09-11 15,14494.0,578.0
2016-09-11 16,14496.0,578.0
2016-09-11 17,14499.0,578.0
2016-09-11 18,14501.0,579.0
2016-09-11 19,14505.0,579.0
2016-09-11 20,14506.0,579.0
2016-09-11 21,14507.0,581.0
2016-09-11 22,14514.0,581.0
2016-09-11 23,14514.0,581.0
2016-09-12 00,14521.0,582.0
2016-09-12 01,14525.0,582.0
2016-09-12 02,14527.0,583.0
2016-09-12 03,14529.0,583.0
2016-09-12 04,14529.0,583.0
2016-09-12 05,14529.0,583.0
2016-09-12 06,14529.0,583.0
2016-09-12 07,14529.0,584.0
2016-09-12 08,14529.0,584.0
2016-09-12 09,14529.0,584.0
2016-09-12 10,14530.0,584.0
2016-09-12 11,14530.0,585.0
2016-09-12 12,14531.0,585.0
2016-09-12 13,14532.0,585.0
2016-09-12 14,14532.0,585.0
2016-09-12 15,14534.0,585.0
2016-09-12 16,14534.0,585.0
2016-09-12 17,14538.0,587.0
2016-09-12 18,14539.0,587.0
2016-09-12 19,14539.0,587.0
2016-09-12 20,14540.0,587.0
2016-09-12 21,14541.0,587.0
2016-09-12 22,14543.0,587.0
2016-09-12 23,14544.0,587.0
2016-09-13 00,14547.0,587.0
2016-09-13 01,14549.0,588.0
2016-09-13 02,14549.0,588.0
2016-09-13 03,14551.0,588.0
2016-09-13 04,14551.0,588.0
2016-09-13 05,14552.0,588.0
2016-09-13 06,14555.0,588.0
2016-09-13 07,14555.0,588.0
2016-09-13 08,14555.0,588.0
2016-09-13 09,14555.0,588.0
2016-09-13 10,14555.0,588.0
2016-09-13 11,14555.0,589.0
2016-09-13 12,14555.0,589.0
2016-09-13 13,14555.0,589.0
2016-09-13 14,14555.0,589.0
2016-09-13 15,14555.0,591.0
2016-09-13 16,14555.0,591.0
2016-09-13 17,14556.0,591.0
2016-09-13 18,14556.0,591.0
2016-09-13 19,14556.0,591.0
2016-09-13 20,14557.0,591.0
2016-09-13 21,14559.0,591.0
2016-09-13 22,14560.0,591.0
2016-09-13 23,14560.0,591.0
2016-09-14 00,14560.0,591.0
2016-09-14 01,14561.0,592.0
2016-09-14 02,14561.0,592.0
2016-09-14 03,14561.0,592.0
2016-09-14 04,14562.0,593.0
2016-09-14 05,14562.0,593.0
2016-09-14 06,14564.0,593.0
2016-09-14 07,14564.0,593.0
2016-09-14 08,14564.0,593.0
2016-09-14 09,14564.0,593.0
2016-09-14 10,14564.0,593.0
2016-09-14 11,14565.0,593.0
2016-09-14 12,14566.0,593.0
2016-09-14 13,14566.0,593.0
2016-09-14 14,14566.0,593.0
2016-09-14 15,14567.0,593.0
2016-09-14 16,14574.0,593.0
2016-09-14 17,14575.0,593.0
2016-09-14 18,14575.0,593.0
2016-09-14 19,14575.0,593.0
2016-09-14 20,14576.0,593.0
2016-09-14 21,14577.0,593.0
2016-09-14 22,14577.0,593.0
2016-09-14 23,14577.0,594.0
2016-09-15 00,14578.0,594.0
2016-09-15 01,14578.0,594.0
2016-09-15 02,14578.0,594.0
2016-09-15 03,14578.0,594.0
2016-09-15 04,14579.0,594.0
2016-09-15 05,14579.0,594.0
2016-09-15 06,14580.0,594.0
2016-09-15 07,14580.0,594.0
2016-09-15 08,14580.0,594.0
2016-09-15 09,14580.0,594.0
2016-09-15 10,14580.0,594.0
2016-09-15 11,14580.0,594.0
2016-09-15 12,14581.0,594.0
2016-09-15 13,14581.0,594.0
2016-09-15 14,14581.0,594.0
2016-09-15 15,14581.0,594.0
2016-09-15 16,14583.0,594.0
2016-09-15 17,14583.0,594.0
2016-09-15 18,14583.0,594.0
2016-09-15 19,14583.0,594.0
2016-09-15 20,14583.0,594.0
2016-09-15 21,14583.0,595.0
2016-09-15 22,14583.0,595.0
2016-09-15 23,14585.0,595.0
2016-09-16 00,14585.0,595.0
2016-09-16 01,14587.0,595.0
2016-09-16 02,14588.0,595.0
2016-09-16 03,14588.0,595.0
2016-09-16 04,14588.0,595.0
2016-09-16 05,14588.0,595.0
2016-09-16 06,14589.0,595.0
2016-09-16 07,14589.0,595.0
2016-09-16 08,14589.0,595.0
2016-09-16 09,14589.0,595.0
2016-09-16 10,14589.0,595.0
2016-09-16 11,14589.0,595.0
2016-09-16 12,14589.0,595.0
2016-09-16 13,14589.0,595.0
2016-09-16 14,14589.0,595.0
2016-09-16 15,14589.0,595.0
2016-09-16 16,14589.0,595.0
2016-09-16 17,14589.0,595.0
2016-09-16 18,14589.0,596.0
2016-09-16 19,14589.0,596.0
2016-09-16 20,14589.0,596.0
2016-09-16 21,14589.0,596.0
2016-09-16 22,14589.0,596.0
2016-09-16 23,14589.0,596.0
2016-09-17 00,14590.0,596.0
2016-09-17 01,14592.0,596.0
2016-09-17 02,14592.0,596.0
2016-09-17 03,14593.0,597.0
2016-09-17 04,14593.0,597.0
2016-09-17 05,14593.0,597.0
2016-09-17 06,14593.0,597.0
2016-09-17 07,14593.0,597.0
2016-09-17 08,14593.0,597.0
2016-09-17 09,14593.0,597.0
2016-09-17 10,14594.0,597.0
2016-09-17 11,14594.0,597.0
2016-09-17 12,14594.0,597.0
2016-09-17 13,14594.0,597.0
2016-09-17 14,14594.0,597.0
2016-09-17 15,14594.0,597.0
2016-09-17 16,14594.0,597.0
2016-09-17 17,14594.0,597.0
2016-09-17 18,14594.0,597.0
2016-09-17 19,14594.0,597.0
2016-09-17 20,14594.0,597.0
2016-09-17 21,14594.0,597.0
2016-09-17 22,14594.0,597.0
2016-09-17 23,14594.0,597.0
2016-09-18 00,14594.0,597.0
2016-09-18 01,14594.0,597.0
