Date,For,Against
2016-07-23 10,6.0,0.0
2016-07-23 11,29.0,0.0
2016-07-23 12,53.0,0.0
2016-07-23 13,65.0,0.0
2016-07-23 14,87.0,0.0
2016-07-23 15,102.0,0.0
2016-07-23 16,118.0,0.0
2016-07-23 17,137.0,0.0
2016-07-23 18,159.0,0.0
2016-07-23 19,167.0,0.0
2016-07-23 20,169.0,0.0
2016-07-23 21,174.0,0.0
2016-07-23 22,176.0,12.0
2016-07-23 23,179.0,17.0
2016-07-24 00,186.0,21.0
2016-07-24 01,193.0,24.0
2016-07-24 02,196.0,29.0
2016-07-24 03,197.0,29.0
2016-07-24 04,203.0,31.0
2016-07-24 05,206.0,35.0
2016-07-24 06,208.0,36.0
2016-07-24 07,210.0,38.0
2016-07-24 08,211.0,39.0
2016-07-24 09,212.0,39.0
2016-07-24 10,215.0,40.0
2016-07-24 11,217.0,40.0
2016-07-24 12,220.0,40.0
2016-07-24 13,228.0,40.0
2016-07-24 14,230.0,40.0
2016-07-24 15,238.0,42.0
2016-07-24 16,423.0,42.0
2016-07-24 17,483.0,43.0
2016-07-24 18,522.0,43.0
2016-07-24 19,533.0,43.0
2016-07-24 20,544.0,43.0
2016-07-24 21,552.0,44.0
2016-07-24 22,558.0,45.0
2016-07-24 23,564.0,46.0
2016-07-25 00,565.0,46.0
2016-07-25 01,570.0,47.0
2016-07-25 02,575.0,48.0
2016-07-25 03,578.0,48.0
2016-07-25 04,580.0,48.0
2016-07-25 05,583.0,50.0
2016-07-25 06,593.0,55.0
2016-07-25 07,594.0,55.0
2016-07-25 08,595.0,55.0
2016-07-25 09,597.0,55.0
2016-07-25 10,598.0,56.0
2016-07-25 11,600.0,57.0
2016-07-25 12,601.0,58.0
2016-07-25 13,603.0,58.0
2016-07-25 14,606.0,58.0
2016-07-25 15,608.0,59.0
2016-07-25 16,609.0,59.0
2016-07-25 17,609.0,59.0
2016-07-25 18,615.0,61.0
2016-07-25 19,618.0,67.0
2016-07-25 20,620.0,68.0
2016-07-25 21,621.0,68.0
2016-07-25 22,621.0,69.0
2016-07-25 23,622.0,69.0
2016-07-26 00,623.0,69.0
2016-07-26 01,623.0,69.0
2016-07-26 02,623.0,69.0
2016-07-26 03,625.0,69.0
2016-07-26 04,625.0,69.0
2016-07-26 05,625.0,69.0
2016-07-26 06,625.0,69.0
2016-07-26 07,625.0,69.0
2016-07-26 08,625.0,69.0
2016-07-26 09,626.0,69.0
2016-07-26 10,626.0,69.0
2016-07-26 11,626.0,69.0
2016-07-26 12,626.0,69.0
2016-07-26 13,627.0,69.0
2016-07-26 14,628.0,69.0
2016-07-26 15,628.0,69.0
2016-07-26 16,628.0,69.0
2016-07-26 17,629.0,70.0
2016-07-26 18,629.0,70.0
2016-07-26 19,629.0,71.0
2016-07-26 20,629.0,71.0
2016-07-26 21,629.0,71.0
2016-07-26 22,629.0,71.0
2016-07-26 23,629.0,71.0
2016-07-27 00,629.0,71.0
2016-07-27 01,629.0,71.0
2016-07-27 02,629.0,71.0
2016-07-27 03,630.0,71.0
2016-07-27 04,630.0,71.0
2016-07-27 05,630.0,71.0
2016-07-27 06,630.0,71.0
2016-07-27 07,630.0,72.0
2016-07-27 08,630.0,72.0
2016-07-27 09,630.0,72.0
2016-07-27 10,630.0,72.0
2016-07-27 11,630.0,72.0
2016-07-27 12,630.0,72.0
2016-07-27 13,630.0,72.0
2016-07-27 14,630.0,72.0
2016-07-27 15,630.0,72.0
2016-07-27 16,630.0,72.0
2016-07-27 17,630.0,72.0
2016-07-27 18,630.0,72.0
2016-07-27 19,630.0,72.0
2016-07-27 20,630.0,72.0
2016-07-27 21,630.0,72.0
2016-07-27 22,630.0,72.0
2016-07-27 23,630.0,72.0
2016-07-28 00,630.0,72.0
2016-07-28 01,630.0,72.0
2016-07-28 02,630.0,72.0
2016-07-28 03,631.0,72.0
2016-07-28 04,631.0,72.0
2016-07-28 05,631.0,72.0
2016-07-28 06,631.0,72.0
2016-07-28 07,631.0,72.0
2016-07-28 08,631.0,72.0
2016-07-28 09,631.0,72.0
2016-07-28 10,631.0,72.0
2016-07-28 11,631.0,72.0
2016-07-28 12,631.0,72.0
2016-07-28 13,631.0,72.0
2016-07-28 14,631.0,72.0
2016-07-28 15,631.0,72.0
2016-07-28 16,631.0,73.0
2016-07-28 17,631.0,73.0
2016-07-28 18,631.0,73.0
2016-07-28 19,632.0,73.0
2016-07-28 20,633.0,73.0
2016-07-28 21,633.0,73.0
2016-07-28 22,633.0,73.0
2016-07-28 23,633.0,74.0
2016-07-29 00,633.0,74.0
2016-07-29 01,633.0,74.0
2016-07-29 02,633.0,74.0
2016-07-29 03,633.0,74.0
2016-07-29 04,633.0,74.0
2016-07-29 05,633.0,74.0
2016-07-29 06,633.0,74.0
2016-07-29 07,633.0,74.0
2016-07-29 08,633.0,74.0
2016-07-29 09,633.0,74.0
2016-07-29 10,633.0,74.0
2016-07-29 11,633.0,74.0
2016-07-29 12,633.0,74.0
2016-07-29 13,633.0,74.0
2016-07-29 14,633.0,74.0
2016-07-29 15,633.0,74.0
2016-07-29 16,633.0,74.0
2016-07-29 17,633.0,75.0
2016-07-29 18,633.0,79.0
2016-07-29 19,633.0,79.0
2016-07-29 20,633.0,79.0
2016-07-29 21,633.0,79.0
2016-07-29 22,633.0,79.0
2016-07-29 23,633.0,79.0
2016-07-30 00,633.0,79.0
2016-07-30 01,633.0,79.0
2016-07-30 02,634.0,79.0
2016-07-30 03,634.0,79.0
2016-07-30 04,634.0,79.0
2016-07-30 05,634.0,79.0
2016-07-30 06,634.0,79.0
2016-07-30 07,634.0,79.0
2016-07-30 08,634.0,79.0
2016-07-30 09,634.0,79.0
2016-07-30 10,634.0,79.0
2016-07-30 11,634.0,79.0
2016-07-30 12,634.0,79.0
2016-07-30 13,634.0,79.0
2016-07-30 14,634.0,79.0
2016-07-30 15,634.0,79.0
2016-07-30 16,634.0,79.0
2016-07-30 17,634.0,79.0
2016-07-30 18,634.0,79.0
2016-07-30 19,634.0,81.0
2016-07-30 20,634.0,81.0
2016-07-30 21,634.0,81.0
2016-07-30 22,634.0,81.0
2016-07-30 23,634.0,81.0
2016-07-31 00,634.0,81.0
2016-07-31 01,634.0,81.0
2016-07-31 02,634.0,81.0
2016-07-31 03,634.0,81.0
2016-07-31 04,634.0,81.0
2016-07-31 05,634.0,81.0
2016-07-31 06,634.0,81.0
2016-07-31 07,634.0,81.0
2016-07-31 08,634.0,81.0
2016-07-31 09,634.0,81.0
2016-07-31 10,634.0,81.0
2016-07-31 11,634.0,81.0
2016-07-31 12,634.0,81.0
2016-07-31 13,634.0,81.0
2016-07-31 14,634.0,81.0
2016-07-31 15,634.0,81.0
2016-07-31 16,634.0,81.0
2016-07-31 17,635.0,83.0
2016-07-31 18,635.0,83.0
2016-07-31 19,635.0,83.0
2016-07-31 20,635.0,83.0
2016-07-31 21,635.0,83.0
2016-07-31 22,635.0,83.0
2016-07-31 23,635.0,83.0
2016-08-01 00,635.0,83.0
2016-08-01 01,635.0,83.0
2016-08-01 02,635.0,83.0
2016-08-01 03,635.0,83.0
2016-08-01 04,635.0,83.0
2016-08-01 05,635.0,83.0
2016-08-01 06,635.0,83.0
2016-08-01 07,635.0,83.0
2016-08-01 08,635.0,83.0
2016-08-01 09,635.0,83.0
2016-08-01 10,635.0,83.0
2016-08-01 11,635.0,83.0
2016-08-01 12,635.0,83.0
2016-08-01 13,635.0,83.0
2016-08-01 14,635.0,83.0
2016-08-01 15,635.0,83.0
2016-08-01 16,635.0,83.0
2016-08-01 17,635.0,83.0
