Date,For,Against
2016-06-13,573.0,0.0
2016-06-14,1298.0,20.0
2016-06-15,1450.0,27.0
2016-06-16,1484.0,29.0
2016-06-17,1533.0,29.0
2016-06-18,1567.0,32.0
2016-06-19,1568.0,34.0
2016-06-20,1568.0,34.0
2016-06-21,1569.0,34.0
2016-06-22,1570.0,34.0
2016-06-23,1570.0,34.0
2016-06-24,1570.0,34.0
2016-06-25,1570.0,34.0
2016-06-26,1570.0,34.0
2016-06-27,1570.0,34.0
2016-06-28,1570.0,34.0
2016-06-29,1570.0,34.0
2016-06-30,1570.0,34.0
2016-07-01,1570.0,36.0
2016-07-02,1571.0,36.0
2016-07-03,1571.0,36.0
2016-07-04,1571.0,37.0
2016-07-05,1571.0,37.0
2016-07-06,1571.0,37.0
2016-07-07,1571.0,37.0
2016-07-08,1571.0,37.0
2016-07-09,1571.0,37.0
2016-07-10,1571.0,37.0
2016-07-11,1571.0,37.0
2016-07-12,1571.0,37.0
2016-07-13,1571.0,37.0
2016-07-14,1571.0,37.0
2016-07-15,1571.0,37.0
2016-07-16,1571.0,37.0
2016-07-17,1571.0,37.0
2016-07-18,1571.0,37.0
2016-07-19,1571.0,37.0
2016-07-20,1571.0,37.0
2016-07-21,1572.0,37.0
2016-07-22,1572.0,37.0
2016-07-23,1572.0,38.0
2016-07-24,1572.0,38.0
2016-07-25,1572.0,39.0
2016-07-26,1572.0,39.0
2016-07-27,1572.0,39.0
2016-07-28,1573.0,39.0
2016-07-29,1623.0,39.0
2016-07-30,1635.0,39.0
2016-07-31,1635.0,41.0
2016-08-01,1635.0,41.0
2016-08-02,1635.0,41.0
2016-08-03,1635.0,41.0
2016-08-04,1635.0,41.0
2016-08-05,1657.0,41.0
2016-08-06,1657.0,41.0
2016-08-07,1657.0,42.0
2016-08-08,1659.0,42.0
2016-08-09,1659.0,42.0
2016-08-10,1659.0,42.0
2016-08-11,1659.0,42.0
2016-08-12,1659.0,42.0
2016-08-13,1659.0,42.0
2016-08-14,1659.0,42.0
2016-08-15,1659.0,42.0
2016-08-16,1659.0,42.0
2016-08-17,1659.0,42.0
2016-08-18,1659.0,42.0
2016-08-19,1659.0,42.0
2016-08-20,1659.0,42.0
2016-08-21,1659.0,42.0
2016-08-22,1659.0,42.0
2016-08-23,1659.0,42.0
2016-08-24,1659.0,42.0
2016-08-25,1659.0,42.0
2016-08-26,1659.0,42.0
2016-08-27,1659.0,42.0
2016-08-28,1659.0,42.0
2016-08-29,1659.0,42.0
2016-08-30,1659.0,42.0
2016-08-31,1660.0,42.0
2016-09-01,1660.0,42.0
2016-09-02,1660.0,42.0
2016-09-03,1660.0,42.0
2016-09-04,1660.0,42.0
2016-09-05,1660.0,42.0
2016-09-06,1660.0,42.0
2016-09-07,1661.0,42.0
