Date,For,Against
2016-05-16 15,1.0,0.0
2016-05-16 16,1.0,0.0
2016-05-16 17,8.0,0.0
2016-05-16 18,9.0,1.0
2016-05-16 19,10.0,1.0
2016-05-16 20,10.0,1.0
2016-05-16 21,10.0,1.0
2016-05-16 22,10.0,1.0
2016-05-16 23,10.0,1.0
2016-05-17 00,10.0,1.0
2016-05-17 01,11.0,1.0
2016-05-17 02,11.0,1.0
2016-05-17 03,11.0,1.0
2016-05-17 04,12.0,1.0
2016-05-17 05,12.0,1.0
2016-05-17 06,12.0,1.0
2016-05-17 07,12.0,1.0
2016-05-17 08,12.0,1.0
2016-05-17 09,12.0,1.0
2016-05-17 10,12.0,1.0
2016-05-17 11,12.0,1.0
2016-05-17 12,12.0,1.0
2016-05-17 13,12.0,1.0
2016-05-17 14,12.0,1.0
2016-05-17 15,12.0,1.0
2016-05-17 16,12.0,1.0
2016-05-17 17,12.0,1.0
2016-05-17 18,12.0,1.0
2016-05-17 19,12.0,1.0
2016-05-17 20,12.0,1.0
2016-05-17 21,13.0,1.0
2016-05-17 22,13.0,1.0
2016-05-17 23,13.0,1.0
2016-05-18 00,13.0,2.0
2016-05-18 01,13.0,2.0
2016-05-18 02,13.0,2.0
2016-05-18 03,13.0,2.0
2016-05-18 04,13.0,2.0
2016-05-18 05,13.0,2.0
2016-05-18 06,13.0,2.0
2016-05-18 07,13.0,2.0
2016-05-18 08,13.0,2.0
2016-05-18 09,13.0,2.0
2016-05-18 10,13.0,2.0
2016-05-18 11,13.0,2.0
2016-05-18 12,13.0,2.0
2016-05-18 13,13.0,2.0
2016-05-18 14,13.0,2.0
2016-05-18 15,13.0,2.0
2016-05-18 16,13.0,2.0
2016-05-18 17,13.0,2.0
2016-05-18 18,13.0,2.0
2016-05-18 19,13.0,2.0
2016-05-18 20,13.0,2.0
2016-05-18 21,13.0,2.0
2016-05-18 22,13.0,2.0
2016-05-18 23,13.0,2.0
2016-05-19 00,13.0,2.0
2016-05-19 01,14.0,2.0
2016-05-19 02,14.0,2.0
2016-05-19 03,14.0,2.0
2016-05-19 04,14.0,2.0
2016-05-19 05,14.0,2.0
2016-05-19 06,16.0,2.0
2016-05-19 07,16.0,2.0
