Date,For,Against
2016-08-09 11,230.0,0.0
2016-08-09 12,437.0,0.0
2016-08-09 13,664.0,0.0
2016-08-09 14,848.0,0.0
2016-08-09 15,1037.0,0.0
2016-08-09 16,1274.0,0.0
2016-08-09 17,1487.0,3.0
2016-08-09 18,1683.0,11.0
2016-08-09 19,1758.0,13.0
2016-08-09 20,1800.0,13.0
2016-08-09 21,1839.0,13.0
2016-08-09 22,1883.0,13.0
2016-08-09 23,1911.0,13.0
2016-08-10 00,1957.0,14.0
2016-08-10 01,1985.0,14.0
2016-08-10 02,2016.0,14.0
2016-08-10 03,2038.0,15.0
2016-08-10 04,2066.0,15.0
2016-08-10 05,2074.0,15.0
2016-08-10 06,2081.0,15.0
2016-08-10 07,2086.0,16.0
2016-08-10 08,2087.0,16.0
2016-08-10 09,2095.0,16.0
2016-08-10 10,2100.0,16.0
2016-08-10 11,2107.0,16.0
2016-08-10 12,2120.0,16.0
2016-08-10 13,2135.0,16.0
2016-08-10 14,2142.0,16.0
2016-08-10 15,2182.0,17.0
2016-08-10 16,2186.0,17.0
2016-08-10 17,2203.0,17.0
2016-08-10 18,2217.0,17.0
2016-08-10 19,2238.0,17.0
2016-08-10 20,2241.0,17.0
2016-08-10 21,2247.0,18.0
2016-08-10 22,2253.0,18.0
2016-08-10 23,2255.0,19.0
2016-08-11 00,2258.0,19.0
2016-08-11 01,2264.0,21.0
2016-08-11 02,2283.0,22.0
2016-08-11 03,2298.0,22.0
2016-08-11 04,2309.0,23.0
2016-08-11 05,2322.0,24.0
2016-08-11 06,2326.0,24.0
2016-08-11 07,2330.0,24.0
2016-08-11 08,2331.0,24.0
2016-08-11 09,2335.0,24.0
2016-08-11 10,2336.0,24.0
2016-08-11 11,2337.0,24.0
2016-08-11 12,2345.0,24.0
2016-08-11 13,2346.0,24.0
2016-08-11 14,2357.0,25.0
2016-08-11 15,2379.0,25.0
2016-08-11 16,2386.0,25.0
2016-08-11 17,2390.0,25.0
2016-08-11 18,2395.0,25.0
2016-08-11 19,2397.0,26.0
2016-08-11 20,2400.0,26.0
2016-08-11 21,2403.0,26.0
2016-08-11 22,2408.0,26.0
2016-08-11 23,2413.0,26.0
2016-08-12 00,2418.0,26.0
2016-08-12 01,2420.0,26.0
2016-08-12 02,2421.0,26.0
2016-08-12 03,2427.0,27.0
2016-08-12 04,2429.0,27.0
2016-08-12 05,2430.0,27.0
2016-08-12 06,2431.0,27.0
2016-08-12 07,2431.0,27.0
2016-08-12 08,2432.0,27.0
2016-08-12 09,2432.0,27.0
2016-08-12 10,2433.0,27.0
2016-08-12 11,2436.0,27.0
2016-08-12 12,2437.0,27.0
2016-08-12 13,2439.0,27.0
2016-08-12 14,2440.0,27.0
2016-08-12 15,2441.0,27.0
2016-08-12 16,2458.0,28.0
2016-08-12 17,2463.0,32.0
2016-08-12 18,2483.0,32.0
2016-08-12 19,2488.0,32.0
2016-08-12 20,2492.0,32.0
2016-08-12 21,2494.0,32.0
2016-08-12 22,2495.0,32.0
2016-08-12 23,2497.0,32.0
2016-08-13 00,2500.0,32.0
2016-08-13 01,2500.0,32.0
2016-08-13 02,2500.0,32.0
2016-08-13 03,2500.0,32.0
2016-08-13 04,2501.0,32.0
2016-08-13 05,2506.0,32.0
2016-08-13 06,2511.0,32.0
2016-08-13 07,2511.0,32.0
2016-08-13 08,2511.0,32.0
2016-08-13 09,2511.0,32.0
2016-08-13 10,2512.0,32.0
2016-08-13 11,2512.0,32.0
2016-08-13 12,2516.0,32.0
2016-08-13 13,2518.0,32.0
2016-08-13 14,2519.0,32.0
2016-08-13 15,2521.0,32.0
2016-08-13 16,2522.0,32.0
2016-08-13 17,2524.0,32.0
2016-08-13 18,2525.0,32.0
2016-08-13 19,2527.0,32.0
2016-08-13 20,2527.0,32.0
2016-08-13 21,2529.0,32.0
2016-08-13 22,2536.0,32.0
2016-08-13 23,2538.0,32.0
2016-08-14 00,2541.0,32.0
2016-08-14 01,2541.0,32.0
2016-08-14 02,2542.0,32.0
2016-08-14 03,2543.0,32.0
2016-08-14 04,2543.0,32.0
2016-08-14 05,2543.0,32.0
2016-08-14 06,2543.0,32.0
2016-08-14 07,2543.0,32.0
2016-08-14 08,2544.0,32.0
2016-08-14 09,2544.0,32.0
2016-08-14 10,2544.0,32.0
2016-08-14 11,2544.0,32.0
2016-08-14 12,2544.0,32.0
2016-08-14 13,2544.0,32.0
2016-08-14 14,2545.0,32.0
2016-08-14 15,2546.0,32.0
2016-08-14 16,2550.0,32.0
2016-08-14 17,2551.0,32.0
2016-08-14 18,2555.0,32.0
2016-08-14 19,2557.0,32.0
2016-08-14 20,2557.0,32.0
2016-08-14 21,2558.0,32.0
2016-08-14 22,2559.0,32.0
2016-08-14 23,2559.0,32.0
2016-08-15 00,2559.0,32.0
2016-08-15 01,2561.0,32.0
2016-08-15 02,2565.0,32.0
2016-08-15 03,2565.0,32.0
