Date,For,Against
2016-05-16 14,1.0,0.0
2016-05-16 15,1.0,0.0
2016-05-16 16,1.0,0.0
2016-05-16 17,3.0,0.0
2016-05-16 18,3.0,1.0
2016-05-16 19,3.0,1.0
2016-05-16 20,3.0,1.0
2016-05-16 21,3.0,1.0
2016-05-16 22,3.0,1.0
2016-05-16 23,3.0,1.0
2016-05-17 00,3.0,1.0
2016-05-17 01,3.0,1.0
2016-05-17 02,3.0,2.0
2016-05-17 03,3.0,2.0
2016-05-17 04,3.0,2.0
2016-05-17 05,3.0,2.0
2016-05-17 06,3.0,2.0
2016-05-17 07,3.0,2.0
2016-05-17 08,3.0,2.0
2016-05-17 09,3.0,2.0
2016-05-17 10,3.0,2.0
2016-05-17 11,3.0,2.0
2016-05-17 12,3.0,2.0
2016-05-17 13,3.0,2.0
2016-05-17 14,3.0,2.0
2016-05-17 15,3.0,2.0
2016-05-17 16,3.0,2.0
2016-05-17 17,3.0,2.0
2016-05-17 18,3.0,2.0
2016-05-17 19,3.0,2.0
2016-05-17 20,3.0,2.0
2016-05-17 21,4.0,2.0
2016-05-17 22,4.0,2.0
2016-05-17 23,4.0,2.0
2016-05-18 00,4.0,2.0
2016-05-18 01,4.0,2.0
2016-05-18 02,4.0,2.0
2016-05-18 03,4.0,2.0
2016-05-18 04,4.0,2.0
2016-05-18 05,4.0,2.0
2016-05-18 06,4.0,2.0
2016-05-18 07,4.0,2.0
2016-05-18 08,4.0,2.0
2016-05-18 09,4.0,2.0
2016-05-18 10,4.0,2.0
2016-05-18 11,4.0,2.0
2016-05-18 12,4.0,2.0
2016-05-18 13,4.0,2.0
2016-05-18 14,4.0,2.0
2016-05-18 15,4.0,2.0
2016-05-18 16,4.0,2.0
2016-05-18 17,4.0,2.0
2016-05-18 18,4.0,2.0
2016-05-18 19,4.0,2.0
2016-05-18 20,4.0,2.0
2016-05-18 21,4.0,2.0
2016-05-18 22,4.0,2.0
2016-05-18 23,4.0,2.0
2016-05-19 00,4.0,2.0
2016-05-19 01,4.0,2.0
2016-05-19 02,4.0,2.0
2016-05-19 03,4.0,2.0
2016-05-19 04,4.0,2.0
2016-05-19 05,4.0,2.0
2016-05-19 06,4.0,2.0
2016-05-19 07,4.0,2.0
2016-05-19 08,4.0,2.0
2016-05-19 09,4.0,2.0
2016-05-19 10,4.0,2.0
2016-05-19 11,4.0,2.0
2016-05-19 12,4.0,2.0
2016-05-19 13,4.0,2.0
2016-05-19 14,4.0,2.0
2016-05-19 15,4.0,2.0
2016-05-19 16,4.0,2.0
