Date,For,Against
2016-07-12 17,2.0,0.0
2016-07-12 18,13.0,0.0
2016-07-12 19,13.0,0.0
2016-07-12 20,14.0,0.0
2016-07-12 21,14.0,0.0
2016-07-12 22,14.0,0.0
2016-07-12 23,17.0,0.0
2016-07-13 00,17.0,0.0
2016-07-13 01,18.0,0.0
2016-07-13 02,18.0,0.0
2016-07-13 03,18.0,0.0
2016-07-13 04,18.0,0.0
2016-07-13 05,18.0,0.0
2016-07-13 06,18.0,0.0
2016-07-13 07,18.0,0.0
2016-07-13 08,18.0,0.0
2016-07-13 09,18.0,0.0
2016-07-13 10,19.0,0.0
2016-07-13 11,20.0,0.0
2016-07-13 12,20.0,0.0
2016-07-13 13,20.0,0.0
2016-07-13 14,20.0,0.0
2016-07-13 15,21.0,0.0
2016-07-13 16,21.0,0.0
2016-07-13 17,27.0,0.0
2016-07-13 18,29.0,0.0
2016-07-13 19,31.0,0.0
2016-07-13 20,31.0,0.0
2016-07-13 21,31.0,0.0
2016-07-13 22,32.0,0.0
2016-07-13 23,32.0,0.0
2016-07-14 00,33.0,0.0
2016-07-14 01,33.0,0.0
2016-07-14 02,33.0,0.0
2016-07-14 03,33.0,0.0
2016-07-14 04,33.0,0.0
2016-07-14 05,33.0,0.0
2016-07-14 06,33.0,0.0
2016-07-14 07,33.0,0.0
2016-07-14 08,33.0,0.0
2016-07-14 09,33.0,0.0
2016-07-14 10,33.0,0.0
2016-07-14 11,34.0,0.0
2016-07-14 12,35.0,0.0
2016-07-14 13,35.0,0.0
2016-07-14 14,35.0,0.0
2016-07-14 15,35.0,0.0
2016-07-14 16,35.0,0.0
2016-07-14 17,35.0,0.0
2016-07-14 18,35.0,0.0
2016-07-14 19,35.0,0.0
2016-07-14 20,35.0,0.0
2016-07-14 21,36.0,0.0
2016-07-14 22,36.0,10.0
2016-07-14 23,36.0,14.0
2016-07-15 00,36.0,20.0
2016-07-15 01,36.0,22.0
2016-07-15 02,36.0,23.0
2016-07-15 03,36.0,23.0
2016-07-15 04,36.0,27.0
2016-07-15 05,36.0,27.0
2016-07-15 06,36.0,27.0
2016-07-15 07,36.0,28.0
2016-07-15 08,36.0,28.0
2016-07-15 09,36.0,28.0
2016-07-15 10,36.0,28.0
2016-07-15 11,36.0,29.0
2016-07-15 12,36.0,29.0
2016-07-15 13,36.0,29.0
2016-07-15 14,44.0,34.0
2016-07-15 15,44.0,35.0
2016-07-15 16,45.0,35.0
2016-07-15 17,47.0,36.0
2016-07-15 18,47.0,36.0
2016-07-15 19,47.0,36.0
2016-07-15 20,47.0,38.0
2016-07-15 21,47.0,38.0
2016-07-15 22,48.0,38.0
2016-07-15 23,48.0,38.0
2016-07-16 00,48.0,38.0
2016-07-16 01,49.0,38.0
2016-07-16 02,49.0,38.0
2016-07-16 03,49.0,38.0
2016-07-16 04,49.0,38.0
2016-07-16 05,49.0,38.0
2016-07-16 06,49.0,39.0
2016-07-16 07,49.0,39.0
2016-07-16 08,49.0,39.0
2016-07-16 09,49.0,39.0
2016-07-16 10,49.0,39.0
2016-07-16 11,49.0,39.0
2016-07-16 12,49.0,39.0
2016-07-16 13,49.0,39.0
2016-07-16 14,49.0,39.0
2016-07-16 15,49.0,39.0
2016-07-16 16,49.0,39.0
2016-07-16 17,49.0,39.0
2016-07-16 18,49.0,39.0
2016-07-16 19,49.0,39.0
2016-07-16 20,49.0,39.0
2016-07-16 21,49.0,39.0
2016-07-16 22,49.0,39.0
2016-07-16 23,49.0,39.0
2016-07-17 00,49.0,39.0
2016-07-17 01,49.0,39.0
2016-07-17 02,49.0,39.0
2016-07-17 03,49.0,39.0
2016-07-17 04,49.0,39.0
2016-07-17 05,49.0,39.0
2016-07-17 06,49.0,39.0
2016-07-17 07,49.0,39.0
2016-07-17 08,49.0,39.0
2016-07-17 09,49.0,39.0
2016-07-17 10,49.0,39.0
2016-07-17 11,49.0,39.0
2016-07-17 12,49.0,39.0
2016-07-17 13,49.0,39.0
2016-07-17 14,49.0,39.0
2016-07-17 15,49.0,40.0
2016-07-17 16,49.0,41.0
2016-07-17 17,49.0,41.0
2016-07-17 18,49.0,41.0
2016-07-17 19,49.0,41.0
2016-07-17 20,49.0,41.0
2016-07-17 21,49.0,41.0
2016-07-17 22,49.0,41.0
2016-07-17 23,49.0,41.0
2016-07-18 00,49.0,41.0
2016-07-18 01,49.0,41.0
2016-07-18 02,49.0,42.0
2016-07-18 03,49.0,44.0
2016-07-18 04,49.0,44.0
2016-07-18 05,49.0,44.0
2016-07-18 06,49.0,44.0
2016-07-18 07,49.0,44.0
2016-07-18 08,49.0,45.0
2016-07-18 09,49.0,45.0
2016-07-18 10,49.0,45.0
2016-07-18 11,49.0,45.0
2016-07-18 12,49.0,46.0
2016-07-18 13,50.0,46.0
2016-07-18 14,50.0,46.0
2016-07-18 15,50.0,46.0
2016-07-18 16,50.0,46.0
2016-07-18 17,50.0,46.0
2016-07-18 18,50.0,46.0
2016-07-18 19,50.0,46.0
2016-07-18 20,50.0,46.0
2016-07-18 21,50.0,47.0
2016-07-18 22,50.0,47.0
2016-07-18 23,50.0,47.0
2016-07-19 00,50.0,47.0
2016-07-19 01,50.0,47.0
2016-07-19 02,50.0,47.0
2016-07-19 03,50.0,47.0
2016-07-19 04,50.0,47.0
2016-07-19 05,50.0,47.0
2016-07-19 06,50.0,47.0
2016-07-19 07,50.0,47.0
2016-07-19 08,50.0,47.0
2016-07-19 09,50.0,47.0
2016-07-19 10,50.0,48.0
2016-07-19 11,50.0,49.0
2016-07-19 12,50.0,49.0
2016-07-19 13,50.0,49.0
2016-07-19 14,50.0,49.0
2016-07-19 15,50.0,49.0
2016-07-19 16,50.0,51.0
2016-07-19 17,50.0,51.0
2016-07-19 18,50.0,52.0
2016-07-19 19,50.0,52.0
2016-07-19 20,50.0,52.0
2016-07-19 21,50.0,52.0
