Date,For,Against
2016-06-20 11,268.0,0.0
2016-06-20 12,554.0,0.0
2016-06-20 13,972.0,0.0
2016-06-20 14,1228.0,0.0
2016-06-20 15,1567.0,0.0
2016-06-20 16,1897.0,0.0
2016-06-20 17,2346.0,7.0
2016-06-20 18,2640.0,21.0
2016-06-20 19,3010.0,32.0
2016-06-20 20,3282.0,33.0
2016-06-20 21,3485.0,35.0
2016-06-20 22,3693.0,36.0
2016-06-20 23,3844.0,37.0
2016-06-21 00,3952.0,39.0
2016-06-21 01,4060.0,43.0
2016-06-21 02,4138.0,46.0
2016-06-21 03,4187.0,48.0
2016-06-21 04,4219.0,52.0
2016-06-21 05,4241.0,53.0
2016-06-21 06,4263.0,54.0
2016-06-21 07,4284.0,54.0
2016-06-21 08,4310.0,54.0
2016-06-21 09,4319.0,54.0
2016-06-21 10,4337.0,55.0
2016-06-21 11,4354.0,56.0
2016-06-21 12,4390.0,56.0
2016-06-21 13,4413.0,56.0
2016-06-21 14,4436.0,58.0
2016-06-21 15,4479.0,58.0
2016-06-21 16,4497.0,58.0
2016-06-21 17,4511.0,59.0
2016-06-21 18,4527.0,59.0
2016-06-21 19,4549.0,59.0
2016-06-21 20,4563.0,61.0
2016-06-21 21,4581.0,62.0
2016-06-21 22,4613.0,64.0
2016-06-21 23,4634.0,66.0
2016-06-22 00,4650.0,66.0
2016-06-22 01,4657.0,67.0
2016-06-22 02,4661.0,69.0
2016-06-22 03,4671.0,70.0
2016-06-22 04,4675.0,70.0
2016-06-22 05,4675.0,70.0
2016-06-22 06,4675.0,71.0
2016-06-22 07,4679.0,71.0
2016-06-22 08,4682.0,71.0
2016-06-22 09,4683.0,71.0
2016-06-22 10,4687.0,71.0
2016-06-22 11,4688.0,71.0
2016-06-22 12,4690.0,74.0
2016-06-22 13,4691.0,75.0
2016-06-22 14,4695.0,79.0
2016-06-22 15,4697.0,80.0
2016-06-22 16,4698.0,80.0
2016-06-22 17,4698.0,80.0
2016-06-22 18,4698.0,80.0
2016-06-22 19,4698.0,80.0
2016-06-22 20,4698.0,80.0
2016-06-22 21,4698.0,80.0
2016-06-22 22,4698.0,80.0
2016-06-22 23,4698.0,80.0
2016-06-23 00,4698.0,80.0
2016-06-23 01,4698.0,80.0
2016-06-23 02,4698.0,80.0
2016-06-23 03,4700.0,80.0
2016-06-23 04,4702.0,80.0
2016-06-23 05,4713.0,80.0
2016-06-23 06,4717.0,80.0
2016-06-23 07,4717.0,80.0
2016-06-23 08,4720.0,80.0
2016-06-23 09,4720.0,83.0
2016-06-23 10,4721.0,83.0
2016-06-23 11,4721.0,83.0
2016-06-23 12,4721.0,83.0
2016-06-23 13,4721.0,83.0
2016-06-23 14,4721.0,83.0
2016-06-23 15,4721.0,83.0
2016-06-23 16,4721.0,83.0
2016-06-23 17,4721.0,83.0
2016-06-23 18,4721.0,83.0
2016-06-23 19,4721.0,83.0
2016-06-23 20,4721.0,83.0
2016-06-23 21,4721.0,83.0
2016-06-23 22,4721.0,83.0
2016-06-23 23,4721.0,83.0
2016-06-24 00,4721.0,83.0
2016-06-24 01,4721.0,83.0
2016-06-24 02,4721.0,83.0
2016-06-24 03,4723.0,83.0
2016-06-24 04,4725.0,83.0
2016-06-24 05,4727.0,83.0
2016-06-24 06,4727.0,83.0
2016-06-24 07,4730.0,83.0
2016-06-24 08,4730.0,83.0
2016-06-24 09,4730.0,83.0
2016-06-24 10,4730.0,83.0
2016-06-24 11,4730.0,83.0
2016-06-24 12,4732.0,83.0
2016-06-24 13,4733.0,83.0
2016-06-24 14,4736.0,83.0
2016-06-24 15,4737.0,83.0
2016-06-24 16,4738.0,83.0
2016-06-24 17,4739.0,83.0
2016-06-24 18,4741.0,83.0
2016-06-24 19,4743.0,84.0
2016-06-24 20,4747.0,84.0
2016-06-24 21,4758.0,84.0
2016-06-24 22,4758.0,84.0
2016-06-24 23,4768.0,84.0
2016-06-25 00,4776.0,84.0
2016-06-25 01,4780.0,84.0
2016-06-25 02,4781.0,84.0
2016-06-25 03,4782.0,84.0
2016-06-25 04,4783.0,84.0
2016-06-25 05,4784.0,84.0
2016-06-25 06,4784.0,84.0
2016-06-25 07,4784.0,84.0
2016-06-25 08,4784.0,84.0
2016-06-25 09,4784.0,84.0
2016-06-25 10,4784.0,84.0
2016-06-25 11,4784.0,84.0
2016-06-25 12,4786.0,86.0
2016-06-25 13,4787.0,86.0
2016-06-25 14,4789.0,86.0
2016-06-25 15,4790.0,86.0
2016-06-25 16,4791.0,86.0
2016-06-25 17,4791.0,86.0
2016-06-25 18,4792.0,86.0
2016-06-25 19,4793.0,86.0
2016-06-25 20,4793.0,86.0
2016-06-25 21,4794.0,86.0
2016-06-25 22,4794.0,86.0
2016-06-25 23,4794.0,86.0
2016-06-26 00,4794.0,86.0
2016-06-26 01,4794.0,88.0
2016-06-26 02,4795.0,88.0
2016-06-26 03,4795.0,90.0
2016-06-26 04,4795.0,90.0
2016-06-26 05,4795.0,90.0
2016-06-26 06,4795.0,90.0
2016-06-26 07,4795.0,90.0
2016-06-26 08,4795.0,90.0
2016-06-26 09,4795.0,90.0
2016-06-26 10,4795.0,90.0
2016-06-26 11,4795.0,90.0
2016-06-26 12,4795.0,90.0
2016-06-26 13,4795.0,90.0
2016-06-26 14,4795.0,90.0
2016-06-26 15,4795.0,90.0
2016-06-26 16,4795.0,90.0
2016-06-26 17,4795.0,90.0
2016-06-26 18,4795.0,90.0
2016-06-26 19,4795.0,90.0
2016-06-26 20,4795.0,90.0
2016-06-26 21,4795.0,90.0
2016-06-26 22,4795.0,90.0
2016-06-26 23,4795.0,90.0
2016-06-27 00,4795.0,90.0
2016-06-27 01,4795.0,90.0
2016-06-27 02,4795.0,90.0
2016-06-27 03,4795.0,90.0
2016-06-27 04,4795.0,90.0
2016-06-27 05,4795.0,90.0
2016-06-27 06,4795.0,90.0
2016-06-27 07,4795.0,90.0
2016-06-27 08,4795.0,90.0
2016-06-27 09,4795.0,90.0
2016-06-27 10,4795.0,90.0
2016-06-27 11,4795.0,90.0
2016-06-27 12,4795.0,90.0
2016-06-27 13,4795.0,90.0
2016-06-27 14,4795.0,90.0
2016-06-27 15,4795.0,90.0
2016-06-27 16,4795.0,90.0
2016-06-27 17,4796.0,90.0
2016-06-27 18,4796.0,90.0
2016-06-27 19,4796.0,90.0
2016-06-27 20,4796.0,90.0
2016-06-27 21,4796.0,91.0
2016-06-27 22,4796.0,91.0
2016-06-27 23,4797.0,92.0
2016-06-28 00,4799.0,92.0
2016-06-28 01,4799.0,92.0
2016-06-28 02,4799.0,92.0
2016-06-28 03,4799.0,92.0
2016-06-28 04,4799.0,92.0
2016-06-28 05,4799.0,92.0
2016-06-28 06,4799.0,92.0
2016-06-28 07,4799.0,92.0
2016-06-28 08,4799.0,92.0
2016-06-28 09,4799.0,93.0
2016-06-28 10,4799.0,93.0
2016-06-28 11,4799.0,93.0
2016-06-28 12,4799.0,93.0
2016-06-28 13,4800.0,93.0
2016-06-28 14,4800.0,93.0
2016-06-28 15,4800.0,93.0
2016-06-28 16,4800.0,94.0
2016-06-28 17,4800.0,94.0
2016-06-28 18,4800.0,94.0
2016-06-28 19,4800.0,94.0
2016-06-28 20,4800.0,94.0
2016-06-28 21,4800.0,94.0
2016-06-28 22,4800.0,94.0
2016-06-28 23,4800.0,94.0
2016-06-29 00,4800.0,94.0
2016-06-29 01,4800.0,94.0
2016-06-29 02,4800.0,94.0
2016-06-29 03,4800.0,94.0
2016-06-29 04,4800.0,94.0
2016-06-29 05,4800.0,94.0
2016-06-29 06,4800.0,94.0
2016-06-29 07,4800.0,94.0
2016-06-29 08,4800.0,94.0
2016-06-29 09,4800.0,94.0
2016-06-29 10,4800.0,94.0
2016-06-29 11,4800.0,94.0
2016-06-29 12,4800.0,94.0
2016-06-29 13,4800.0,94.0
2016-06-29 14,4800.0,94.0
2016-06-29 15,4800.0,94.0
2016-06-29 16,4800.0,94.0
2016-06-29 17,4800.0,94.0
2016-06-29 18,4800.0,94.0
2016-06-29 19,4800.0,94.0
2016-06-29 20,4800.0,94.0
2016-06-29 21,4800.0,94.0
2016-06-29 22,4800.0,94.0
2016-06-29 23,4800.0,94.0
2016-06-30 00,4800.0,94.0
2016-06-30 01,4800.0,94.0
2016-06-30 02,4800.0,94.0
2016-06-30 03,4800.0,94.0
2016-06-30 04,4800.0,94.0
2016-06-30 05,4800.0,94.0
2016-06-30 06,4800.0,94.0
2016-06-30 07,4800.0,94.0
2016-06-30 08,4800.0,94.0
2016-06-30 09,4800.0,94.0
2016-06-30 10,4800.0,94.0
2016-06-30 11,4800.0,94.0
2016-06-30 12,4800.0,94.0
2016-06-30 13,4801.0,94.0
2016-06-30 14,4801.0,94.0
2016-06-30 15,4801.0,94.0
2016-06-30 16,4801.0,94.0
2016-06-30 17,4801.0,94.0
2016-06-30 18,4801.0,94.0
2016-06-30 19,4801.0,94.0
2016-06-30 20,4801.0,94.0
2016-06-30 21,4801.0,95.0
2016-06-30 22,4801.0,95.0
2016-06-30 23,4801.0,95.0
2016-07-01 00,4802.0,95.0
2016-07-01 01,4802.0,95.0
2016-07-01 02,4802.0,95.0
2016-07-01 03,4802.0,95.0
2016-07-01 04,4802.0,95.0
2016-07-01 05,4802.0,95.0
2016-07-01 06,4802.0,95.0
2016-07-01 07,4802.0,96.0
2016-07-01 08,4802.0,96.0
2016-07-01 09,4802.0,96.0
2016-07-01 10,4802.0,96.0
2016-07-01 11,4802.0,96.0
2016-07-01 12,4802.0,96.0
2016-07-01 13,4802.0,96.0
2016-07-01 14,4803.0,96.0
2016-07-01 15,4803.0,96.0
2016-07-01 16,4803.0,97.0
2016-07-01 17,4803.0,97.0
2016-07-01 18,4803.0,97.0
2016-07-01 19,4803.0,97.0
2016-07-01 20,4803.0,97.0
2016-07-01 21,4803.0,97.0
2016-07-01 22,4803.0,97.0
2016-07-01 23,4803.0,97.0
2016-07-02 00,4803.0,97.0
2016-07-02 01,4803.0,97.0
2016-07-02 02,4803.0,97.0
2016-07-02 03,4803.0,97.0
2016-07-02 04,4803.0,97.0
2016-07-02 05,4803.0,97.0
2016-07-02 06,4803.0,97.0
2016-07-02 07,4803.0,97.0
2016-07-02 08,4803.0,97.0
2016-07-02 09,4803.0,97.0
2016-07-02 10,4803.0,97.0
2016-07-02 11,4803.0,97.0
2016-07-02 12,4803.0,98.0
2016-07-02 13,4803.0,98.0
2016-07-02 14,4803.0,98.0
2016-07-02 15,4803.0,98.0
2016-07-02 16,4803.0,98.0
2016-07-02 17,4803.0,98.0
2016-07-02 18,4803.0,98.0
2016-07-02 19,4803.0,98.0
2016-07-02 20,4803.0,98.0
2016-07-02 21,4803.0,99.0
2016-07-02 22,4803.0,99.0
2016-07-02 23,4803.0,99.0
2016-07-03 00,4803.0,99.0
2016-07-03 01,4803.0,99.0
2016-07-03 02,4803.0,99.0
2016-07-03 03,4803.0,99.0
2016-07-03 04,4803.0,99.0
2016-07-03 05,4803.0,99.0
2016-07-03 06,4803.0,99.0
2016-07-03 07,4803.0,99.0
2016-07-03 08,4803.0,99.0
2016-07-03 09,4803.0,99.0
2016-07-03 10,4803.0,99.0
2016-07-03 11,4803.0,99.0
2016-07-03 12,4805.0,99.0
2016-07-03 13,4805.0,99.0
2016-07-03 14,4805.0,99.0
2016-07-03 15,4805.0,99.0
2016-07-03 16,4805.0,99.0
2016-07-03 17,4805.0,99.0
2016-07-03 18,4805.0,99.0
2016-07-03 19,4805.0,99.0
2016-07-03 20,4805.0,99.0
2016-07-03 21,4805.0,99.0
2016-07-03 22,4805.0,99.0
2016-07-03 23,4805.0,99.0
2016-07-04 00,4805.0,99.0
2016-07-04 01,4805.0,99.0
2016-07-04 02,4805.0,99.0
2016-07-04 03,4805.0,99.0
2016-07-04 04,4805.0,99.0
2016-07-04 05,4805.0,99.0
2016-07-04 06,4805.0,99.0
2016-07-04 07,4806.0,99.0
2016-07-04 08,4806.0,99.0
2016-07-04 09,4806.0,99.0
2016-07-04 10,4806.0,99.0
2016-07-04 11,4806.0,99.0
2016-07-04 12,4806.0,99.0
2016-07-04 13,4806.0,99.0
2016-07-04 14,4806.0,99.0
2016-07-04 15,4806.0,99.0
2016-07-04 16,4806.0,99.0
2016-07-04 17,4806.0,99.0
2016-07-04 18,4806.0,99.0
2016-07-04 19,4806.0,99.0
2016-07-04 20,4806.0,99.0
2016-07-04 21,4806.0,99.0
2016-07-04 22,4806.0,99.0
2016-07-04 23,4806.0,99.0
2016-07-05 00,4806.0,99.0
2016-07-05 01,4806.0,99.0
2016-07-05 02,4806.0,99.0
2016-07-05 03,4806.0,99.0
2016-07-05 04,4806.0,99.0
2016-07-05 05,4806.0,99.0
2016-07-05 06,4806.0,99.0
2016-07-05 07,4806.0,99.0
2016-07-05 08,4806.0,99.0
2016-07-05 09,4806.0,99.0
2016-07-05 10,4806.0,99.0
2016-07-05 11,4806.0,99.0
2016-07-05 12,4806.0,99.0
2016-07-05 13,4806.0,99.0
2016-07-05 14,4807.0,99.0
2016-07-05 15,4807.0,100.0
2016-07-05 16,4807.0,100.0
2016-07-05 17,4807.0,100.0
2016-07-05 18,4807.0,100.0
2016-07-05 19,4807.0,100.0
2016-07-05 20,4807.0,100.0
2016-07-05 21,4807.0,100.0
2016-07-05 22,4807.0,100.0
2016-07-05 23,4807.0,100.0
2016-07-06 00,4807.0,100.0
2016-07-06 01,4807.0,100.0
2016-07-06 02,4808.0,100.0
2016-07-06 03,4808.0,100.0
2016-07-06 04,4808.0,100.0
2016-07-06 05,4808.0,100.0
2016-07-06 06,4808.0,100.0
2016-07-06 07,4808.0,100.0
2016-07-06 08,4808.0,100.0
2016-07-06 09,4808.0,100.0
2016-07-06 10,4808.0,100.0
2016-07-06 11,4808.0,100.0
2016-07-06 12,4808.0,100.0
2016-07-06 13,4808.0,100.0
2016-07-06 14,4808.0,100.0
2016-07-06 15,4808.0,100.0
2016-07-06 16,4808.0,100.0
2016-07-06 17,4808.0,100.0
2016-07-06 18,4808.0,100.0
2016-07-06 19,4808.0,100.0
2016-07-06 20,4808.0,100.0
2016-07-06 21,4808.0,100.0
2016-07-06 22,4808.0,100.0
2016-07-06 23,4808.0,100.0
2016-07-07 00,4808.0,100.0
2016-07-07 01,4808.0,100.0
2016-07-07 02,4808.0,100.0
2016-07-07 03,4808.0,100.0
2016-07-07 04,4808.0,100.0
2016-07-07 05,4808.0,100.0
2016-07-07 06,4808.0,100.0
2016-07-07 07,4808.0,100.0
2016-07-07 08,4808.0,100.0
2016-07-07 09,4808.0,100.0
2016-07-07 10,4808.0,100.0
2016-07-07 11,4808.0,100.0
2016-07-07 12,4808.0,100.0
2016-07-07 13,4808.0,100.0
2016-07-07 14,4808.0,100.0
2016-07-07 15,4808.0,100.0
2016-07-07 16,4808.0,100.0
2016-07-07 17,4808.0,100.0
2016-07-07 18,4808.0,100.0
2016-07-07 19,4808.0,100.0
2016-07-07 20,4808.0,100.0
2016-07-07 21,4809.0,100.0
2016-07-07 22,4809.0,100.0
2016-07-07 23,4809.0,100.0
2016-07-08 00,4809.0,100.0
2016-07-08 01,4809.0,100.0
2016-07-08 02,4809.0,100.0
2016-07-08 03,4809.0,100.0
2016-07-08 04,4809.0,100.0
2016-07-08 05,4809.0,100.0
2016-07-08 06,4809.0,100.0
2016-07-08 07,4809.0,100.0
2016-07-08 08,4809.0,100.0
2016-07-08 09,4809.0,100.0
2016-07-08 10,4809.0,100.0
2016-07-08 11,4809.0,100.0
2016-07-08 12,4809.0,100.0
2016-07-08 13,4809.0,100.0
2016-07-08 14,4809.0,100.0
2016-07-08 15,4809.0,100.0
2016-07-08 16,4809.0,100.0
2016-07-08 17,4809.0,100.0
2016-07-08 18,4809.0,100.0
2016-07-08 19,4809.0,100.0
2016-07-08 20,4809.0,100.0
2016-07-08 21,4809.0,100.0
2016-07-08 22,4809.0,100.0
2016-07-08 23,4809.0,100.0
2016-07-09 00,4809.0,100.0
2016-07-09 01,4809.0,100.0
2016-07-09 02,4809.0,100.0
2016-07-09 03,4809.0,100.0
2016-07-09 04,4809.0,100.0
2016-07-09 05,4809.0,100.0
2016-07-09 06,4809.0,100.0
2016-07-09 07,4809.0,100.0
2016-07-09 08,4809.0,100.0
2016-07-09 09,4809.0,100.0
2016-07-09 10,4809.0,100.0
2016-07-09 11,4809.0,100.0
2016-07-09 12,4809.0,100.0
2016-07-09 13,4809.0,100.0
2016-07-09 14,4809.0,100.0
2016-07-09 15,4809.0,100.0
2016-07-09 16,4809.0,100.0
2016-07-09 17,4809.0,100.0
2016-07-09 18,4809.0,100.0
2016-07-09 19,4809.0,100.0
2016-07-09 20,4809.0,100.0
2016-07-09 21,4809.0,100.0
2016-07-09 22,4809.0,100.0
2016-07-09 23,4809.0,100.0
2016-07-10 00,4809.0,100.0
2016-07-10 01,4809.0,100.0
2016-07-10 02,4809.0,100.0
2016-07-10 03,4809.0,100.0
2016-07-10 04,4809.0,100.0
2016-07-10 05,4809.0,100.0
2016-07-10 06,4809.0,100.0
2016-07-10 07,4809.0,100.0
2016-07-10 08,4809.0,100.0
2016-07-10 09,4809.0,100.0
2016-07-10 10,4809.0,100.0
2016-07-10 11,4809.0,100.0
2016-07-10 12,4809.0,100.0
2016-07-10 13,4809.0,100.0
2016-07-10 14,4809.0,100.0
2016-07-10 15,4809.0,100.0
2016-07-10 16,4809.0,100.0
2016-07-10 17,4810.0,100.0
2016-07-10 18,4810.0,100.0
2016-07-10 19,4810.0,100.0
2016-07-10 20,4810.0,100.0
2016-07-10 21,4810.0,100.0
2016-07-10 22,4810.0,100.0
