Date,For,Against
2016-08-16 11,482.0,0.0
2016-08-16 12,806.0,0.0
2016-08-16 13,1014.0,0.0
2016-08-16 14,1324.0,0.0
2016-08-16 15,1624.0,0.0
2016-08-16 16,1927.0,0.0
2016-08-16 17,2190.0,0.0
2016-08-16 18,2364.0,0.0
2016-08-16 19,2521.0,0.0
2016-08-16 20,2648.0,0.0
2016-08-16 21,2749.0,0.0
2016-08-16 22,2826.0,0.0
2016-08-16 23,2965.0,0.0
2016-08-17 00,3031.0,0.0
2016-08-17 01,3125.0,0.0
2016-08-17 02,3185.0,0.0
2016-08-17 03,3260.0,0.0
2016-08-17 04,3334.0,0.0
2016-08-17 05,3358.0,0.0
2016-08-17 06,3373.0,0.0
2016-08-17 07,3384.0,0.0
2016-08-17 08,3396.0,0.0
2016-08-17 09,3407.0,0.0
2016-08-17 10,3449.0,0.0
2016-08-17 11,3479.0,0.0
2016-08-17 12,3577.0,0.0
2016-08-17 13,3633.0,0.0
2016-08-17 14,3688.0,0.0
2016-08-17 15,3703.0,0.0
2016-08-17 16,3775.0,0.0
2016-08-17 17,3786.0,0.0
2016-08-17 18,3791.0,0.0
2016-08-17 19,3809.0,6.0
2016-08-17 20,3820.0,17.0
2016-08-17 21,3833.0,19.0
2016-08-17 22,3844.0,19.0
2016-08-17 23,3858.0,19.0
2016-08-18 00,3868.0,19.0
2016-08-18 01,3884.0,22.0
2016-08-18 02,3889.0,23.0
2016-08-18 03,3907.0,23.0
2016-08-18 04,3915.0,23.0
2016-08-18 05,3922.0,23.0
2016-08-18 06,3925.0,23.0
2016-08-18 07,3926.0,24.0
2016-08-18 08,3929.0,24.0
2016-08-18 09,3929.0,24.0
2016-08-18 10,3931.0,24.0
2016-08-18 11,3936.0,25.0
2016-08-18 12,3940.0,25.0
2016-08-18 13,3943.0,25.0
2016-08-18 14,3945.0,25.0
2016-08-18 15,3957.0,25.0
2016-08-18 16,3957.0,26.0
2016-08-18 17,3974.0,26.0
2016-08-18 18,3975.0,27.0
2016-08-18 19,3985.0,27.0
2016-08-18 20,3988.0,28.0
2016-08-18 21,3989.0,29.0
2016-08-18 22,3991.0,29.0
2016-08-18 23,3998.0,29.0
2016-08-19 00,4002.0,29.0
2016-08-19 01,4005.0,29.0
2016-08-19 02,4018.0,29.0
2016-08-19 03,4018.0,29.0
2016-08-19 04,4019.0,29.0
2016-08-19 05,4020.0,29.0
