Date,For,Against
2016-08-10 18,0.0,3.0
2016-08-10 19,0.0,42.0
2016-08-10 20,0.0,49.0
2016-08-10 21,0.0,59.0
2016-08-10 22,0.0,73.0
2016-08-10 23,0.0,77.0
2016-08-11 00,0.0,85.0
2016-08-11 01,0.0,95.0
2016-08-11 02,0.0,102.0
2016-08-11 03,0.0,105.0
2016-08-11 04,0.0,109.0
2016-08-11 05,0.0,114.0
2016-08-11 06,0.0,118.0
2016-08-11 07,0.0,120.0
2016-08-11 08,0.0,122.0
2016-08-11 09,0.0,122.0
2016-08-11 10,0.0,124.0
2016-08-11 11,0.0,127.0
2016-08-11 12,0.0,135.0
2016-08-11 13,0.0,144.0
2016-08-11 14,0.0,151.0
2016-08-11 15,0.0,154.0
2016-08-11 16,0.0,157.0
2016-08-11 17,0.0,161.0
2016-08-11 18,0.0,162.0
2016-08-11 19,0.0,164.0
2016-08-11 20,0.0,164.0
2016-08-11 21,0.0,167.0
2016-08-11 22,0.0,168.0
2016-08-11 23,0.0,173.0
2016-08-12 00,0.0,173.0
2016-08-12 01,0.0,175.0
2016-08-12 02,0.0,180.0
2016-08-12 03,0.0,185.0
2016-08-12 04,0.0,188.0
2016-08-12 05,0.0,189.0
2016-08-12 06,0.0,191.0
2016-08-12 07,0.0,191.0
2016-08-12 08,0.0,192.0
2016-08-12 09,0.0,193.0
2016-08-12 10,0.0,194.0
2016-08-12 11,0.0,195.0
2016-08-12 12,0.0,196.0
2016-08-12 13,0.0,198.0
2016-08-12 14,0.0,200.0
2016-08-12 15,0.0,204.0
2016-08-12 16,0.0,206.0
2016-08-12 17,0.0,207.0
2016-08-12 18,0.0,208.0
2016-08-12 19,0.0,208.0
2016-08-12 20,0.0,212.0
2016-08-12 21,0.0,215.0
2016-08-12 22,0.0,218.0
2016-08-12 23,0.0,221.0
2016-08-13 00,0.0,223.0
2016-08-13 01,0.0,224.0
2016-08-13 02,0.0,225.0
2016-08-13 03,0.0,225.0
2016-08-13 04,0.0,225.0
2016-08-13 05,0.0,225.0
2016-08-13 06,0.0,225.0
2016-08-13 07,0.0,228.0
2016-08-13 08,0.0,230.0
2016-08-13 09,0.0,232.0
2016-08-13 10,0.0,238.0
2016-08-13 11,0.0,251.0
2016-08-13 12,0.0,260.0
2016-08-13 13,0.0,264.0
2016-08-13 14,0.0,270.0
2016-08-13 15,0.0,273.0
2016-08-13 16,0.0,276.0
2016-08-13 17,0.0,276.0
2016-08-13 18,0.0,277.0
2016-08-13 19,0.0,277.0
2016-08-13 20,0.0,278.0
2016-08-13 21,0.0,279.0
2016-08-13 22,0.0,281.0
2016-08-13 23,0.0,282.0
2016-08-14 00,0.0,282.0
2016-08-14 01,0.0,282.0
2016-08-14 02,0.0,282.0
2016-08-14 03,0.0,284.0
2016-08-14 04,0.0,285.0
2016-08-14 05,0.0,285.0
2016-08-14 06,0.0,285.0
2016-08-14 07,0.0,286.0
2016-08-14 08,0.0,286.0
2016-08-14 09,0.0,286.0
2016-08-14 10,0.0,287.0
2016-08-14 11,0.0,287.0
2016-08-14 12,0.0,287.0
2016-08-14 13,0.0,288.0
2016-08-14 14,0.0,291.0
2016-08-14 15,0.0,293.0
2016-08-14 16,0.0,295.0
2016-08-14 17,0.0,297.0
2016-08-14 18,0.0,298.0
2016-08-14 19,0.0,299.0
2016-08-14 20,0.0,299.0
2016-08-14 21,0.0,299.0
2016-08-14 22,0.0,300.0
2016-08-14 23,0.0,304.0
2016-08-15 00,0.0,305.0
2016-08-15 01,0.0,306.0
2016-08-15 02,0.0,307.0
2016-08-15 03,0.0,308.0
2016-08-15 04,0.0,308.0
2016-08-15 05,0.0,309.0
2016-08-15 06,0.0,309.0
2016-08-15 07,0.0,309.0
2016-08-15 08,0.0,312.0
2016-08-15 09,0.0,317.0
2016-08-15 10,0.0,318.0
2016-08-15 11,0.0,318.0
2016-08-15 12,0.0,319.0
2016-08-15 13,0.0,321.0
2016-08-15 14,0.0,321.0
2016-08-15 15,0.0,321.0
2016-08-15 16,0.0,323.0
2016-08-15 17,0.0,323.0
2016-08-15 18,0.0,323.0
2016-08-15 19,0.0,324.0
2016-08-15 20,0.0,325.0
2016-08-15 21,0.0,326.0
2016-08-15 22,0.0,326.0
2016-08-15 23,0.0,328.0
2016-08-16 00,0.0,328.0
2016-08-16 01,0.0,328.0
2016-08-16 02,0.0,328.0
2016-08-16 03,0.0,328.0
2016-08-16 04,0.0,329.0
2016-08-16 05,0.0,329.0
2016-08-16 06,0.0,329.0
