Date,For,Against
2016-10-10 00,0.0,2.0
2016-10-10 01,0.0,3.0
2016-10-10 02,0.0,3.0
2016-10-10 03,0.0,4.0
2016-10-10 04,0.0,4.0
2016-10-10 05,0.0,4.0
2016-10-10 06,0.0,4.0
2016-10-10 07,0.0,4.0
2016-10-10 08,0.0,4.0
2016-10-10 09,0.0,4.0
2016-10-10 10,0.0,4.0
2016-10-10 11,0.0,4.0
2016-10-10 12,0.0,4.0
2016-10-10 13,0.0,4.0
2016-10-10 14,0.0,4.0
2016-10-10 15,0.0,5.0
2016-10-10 16,0.0,5.0
2016-10-10 17,0.0,5.0
2016-10-10 18,0.0,6.0
2016-10-10 19,0.0,6.0
2016-10-10 20,0.0,7.0
2016-10-10 21,0.0,7.0
2016-10-10 22,0.0,7.0
2016-10-10 23,0.0,7.0
2016-10-11 00,0.0,7.0
2016-10-11 01,0.0,7.0
2016-10-11 02,0.0,7.0
2016-10-11 03,0.0,7.0
2016-10-11 04,0.0,7.0
2016-10-11 05,0.0,7.0
2016-10-11 06,0.0,7.0
2016-10-11 07,0.0,7.0
2016-10-11 08,0.0,8.0
2016-10-11 09,0.0,8.0
2016-10-11 10,0.0,8.0
2016-10-11 11,0.0,8.0
2016-10-11 12,0.0,8.0
2016-10-11 13,0.0,8.0
2016-10-11 14,0.0,8.0
2016-10-11 15,0.0,8.0
2016-10-11 16,0.0,8.0
2016-10-11 17,395.0,8.0
2016-10-11 18,1197.0,9.0
2016-10-11 19,1924.0,9.0
2016-10-11 20,2315.0,9.0
2016-10-11 21,2620.0,13.0
2016-10-11 22,2907.0,15.0
2016-10-11 23,3150.0,15.0
2016-10-12 00,3297.0,15.0
2016-10-12 01,3397.0,16.0
2016-10-12 02,3504.0,17.0
2016-10-12 03,3580.0,19.0
2016-10-12 04,3640.0,20.0
2016-10-12 05,3690.0,21.0
2016-10-12 06,3741.0,23.0
2016-10-12 07,3757.0,23.0
2016-10-12 08,3778.0,23.0
2016-10-12 09,3793.0,23.0
2016-10-12 10,3810.0,23.0
2016-10-12 11,3847.0,25.0
2016-10-12 12,3863.0,25.0
2016-10-12 13,3902.0,27.0
2016-10-12 14,3937.0,29.0
2016-10-12 15,4009.0,30.0
2016-10-12 16,4045.0,30.0
2016-10-12 17,4133.0,32.0
2016-10-12 18,4168.0,35.0
2016-10-12 19,4239.0,37.0
2016-10-12 20,4299.0,39.0
2016-10-12 21,4344.0,41.0
2016-10-12 22,4398.0,41.0
2016-10-12 23,4449.0,45.0
2016-10-13 00,4479.0,51.0
2016-10-13 01,4506.0,54.0
2016-10-13 02,4530.0,54.0
2016-10-13 03,4577.0,54.0
2016-10-13 04,4602.0,54.0
2016-10-13 05,4609.0,54.0
2016-10-13 06,4620.0,54.0
2016-10-13 07,4628.0,54.0
2016-10-13 08,4635.0,54.0
2016-10-13 09,4643.0,55.0
2016-10-13 10,4653.0,55.0
2016-10-13 11,4659.0,57.0
2016-10-13 12,4679.0,58.0
2016-10-13 13,4695.0,58.0
2016-10-13 14,4711.0,60.0
2016-10-13 15,4731.0,65.0
2016-10-13 16,4751.0,65.0
2016-10-13 17,4760.0,67.0
2016-10-13 18,4763.0,69.0
2016-10-13 19,4769.0,71.0
2016-10-13 20,4775.0,72.0
2016-10-13 21,4780.0,76.0
2016-10-13 22,4786.0,77.0
2016-10-13 23,4793.0,79.0
2016-10-14 00,4798.0,80.0
2016-10-14 01,4803.0,81.0
2016-10-14 02,4806.0,81.0
2016-10-14 03,4810.0,81.0
2016-10-14 04,4813.0,83.0
2016-10-14 05,4822.0,83.0
2016-10-14 06,4826.0,84.0
2016-10-14 07,4827.0,84.0
2016-10-14 08,4827.0,84.0
2016-10-14 09,4827.0,84.0
2016-10-14 10,4829.0,85.0
2016-10-14 11,4832.0,85.0
2016-10-14 12,4834.0,86.0
2016-10-14 13,4836.0,86.0
2016-10-14 14,4839.0,86.0
2016-10-14 15,4841.0,87.0
2016-10-14 16,4841.0,90.0
2016-10-14 17,4843.0,94.0
2016-10-14 18,4845.0,94.0
2016-10-14 19,4849.0,94.0
2016-10-14 20,4850.0,94.0
2016-10-14 21,4851.0,94.0
2016-10-14 22,4852.0,94.0
2016-10-14 23,4852.0,94.0
2016-10-15 00,4933.0,95.0
2016-10-15 01,4944.0,96.0
2016-10-15 02,4956.0,98.0
2016-10-15 03,4965.0,98.0
2016-10-15 04,4969.0,99.0
2016-10-15 05,4971.0,99.0
2016-10-15 06,4973.0,99.0
2016-10-15 07,4976.0,99.0
2016-10-15 08,4976.0,99.0
2016-10-15 09,4976.0,99.0
2016-10-15 10,4978.0,99.0
2016-10-15 11,4978.0,99.0
2016-10-15 12,4980.0,99.0
2016-10-15 13,4982.0,101.0
2016-10-15 14,4986.0,101.0
2016-10-15 15,4990.0,103.0
2016-10-15 16,4995.0,104.0
2016-10-15 17,5000.0,104.0
2016-10-15 18,5003.0,104.0
2016-10-15 19,5005.0,104.0
2016-10-15 20,5006.0,106.0
2016-10-15 21,5008.0,107.0
2016-10-15 22,5010.0,108.0
2016-10-15 23,5010.0,108.0
2016-10-16 00,5013.0,108.0
2016-10-16 01,5013.0,109.0
2016-10-16 02,5015.0,110.0
2016-10-16 03,5016.0,110.0
2016-10-16 04,5016.0,110.0
2016-10-16 05,5017.0,111.0
2016-10-16 06,5019.0,111.0
2016-10-16 07,5019.0,112.0
2016-10-16 08,5020.0,112.0
2016-10-16 09,5020.0,112.0
2016-10-16 10,5020.0,114.0
2016-10-16 11,5020.0,115.0
2016-10-16 12,5020.0,117.0
2016-10-16 13,5023.0,117.0
2016-10-16 14,5028.0,117.0
2016-10-16 15,5028.0,117.0
2016-10-16 16,5034.0,117.0
2016-10-16 17,5036.0,117.0
2016-10-16 18,5038.0,117.0
2016-10-16 19,5042.0,117.0
2016-10-16 20,5047.0,117.0
2016-10-16 21,5048.0,117.0
2016-10-16 22,5050.0,117.0
2016-10-16 23,5052.0,117.0
2016-10-17 00,5053.0,117.0
2016-10-17 01,5056.0,117.0
2016-10-17 02,5056.0,118.0
2016-10-17 03,5056.0,119.0
2016-10-17 04,5060.0,119.0
2016-10-17 05,5062.0,119.0
2016-10-17 06,5062.0,119.0
2016-10-17 07,5062.0,119.0
2016-10-17 08,5063.0,119.0
2016-10-17 09,5063.0,119.0
2016-10-17 10,5064.0,119.0
2016-10-17 11,5064.0,119.0
2016-10-17 12,5064.0,119.0
2016-10-17 13,5064.0,119.0
2016-10-17 14,5065.0,119.0
2016-10-17 15,5066.0,119.0
2016-10-17 16,5066.0,119.0
2016-10-17 17,5066.0,119.0
2016-10-17 18,5068.0,119.0
2016-10-17 19,5068.0,119.0
2016-10-17 20,5069.0,119.0
2016-10-17 21,5069.0,119.0
2016-10-17 22,5069.0,119.0
2016-10-17 23,5069.0,119.0
2016-10-18 00,5070.0,119.0
2016-10-18 01,5070.0,120.0
2016-10-18 02,5071.0,120.0
2016-10-18 03,5074.0,120.0
2016-10-18 04,5077.0,120.0
2016-10-18 05,5077.0,120.0
2016-10-18 06,5077.0,120.0
2016-10-18 07,5077.0,120.0
2016-10-18 08,5077.0,120.0
2016-10-18 09,5077.0,120.0
2016-10-18 10,5079.0,120.0
2016-10-18 11,5080.0,120.0
2016-10-18 12,5080.0,123.0
2016-10-18 13,5080.0,123.0
2016-10-18 14,5080.0,123.0
2016-10-18 15,5080.0,123.0
2016-10-18 16,5080.0,123.0
2016-10-18 17,5080.0,123.0
2016-10-18 18,5080.0,123.0
2016-10-18 19,5081.0,123.0
2016-10-18 20,5082.0,123.0
2016-10-18 21,5082.0,126.0
2016-10-18 22,5083.0,131.0
2016-10-18 23,5084.0,132.0
2016-10-19 00,5084.0,176.0
2016-10-19 01,5084.0,181.0
2016-10-19 02,5084.0,183.0
2016-10-19 03,5084.0,183.0
2016-10-19 04,5084.0,184.0
2016-10-19 05,5085.0,185.0
2016-10-19 06,5085.0,185.0
2016-10-19 07,5085.0,186.0
2016-10-19 08,5085.0,186.0
2016-10-19 09,5085.0,186.0
2016-10-19 10,5085.0,186.0
2016-10-19 11,5085.0,187.0
2016-10-19 12,5086.0,187.0
2016-10-19 13,5086.0,190.0
2016-10-19 14,5086.0,192.0
2016-10-19 15,5086.0,193.0
2016-10-19 16,5086.0,193.0
2016-10-19 17,5086.0,193.0
2016-10-19 18,5086.0,193.0
2016-10-19 19,5087.0,193.0
2016-10-19 20,5088.0,247.0
2016-10-19 21,5091.0,305.0
2016-10-19 22,5091.0,318.0
2016-10-19 23,5093.0,330.0
2016-10-20 00,5113.0,353.0
2016-10-20 01,5113.0,356.0
2016-10-20 02,5113.0,356.0
2016-10-20 03,5113.0,356.0
2016-10-20 04,5113.0,357.0
2016-10-20 05,5113.0,357.0
2016-10-20 06,5113.0,357.0
2016-10-20 07,5114.0,358.0
2016-10-20 08,5114.0,358.0
2016-10-20 09,5114.0,358.0
2016-10-20 10,5114.0,358.0
2016-10-20 11,5115.0,360.0
2016-10-20 12,5115.0,360.0
2016-10-20 13,5115.0,361.0
2016-10-20 14,5115.0,361.0
2016-10-20 15,5116.0,361.0
2016-10-20 16,5116.0,362.0
2016-10-20 17,5116.0,362.0
2016-10-20 18,5117.0,362.0
2016-10-20 19,5118.0,362.0
2016-10-20 20,5118.0,362.0
2016-10-20 21,5118.0,362.0
2016-10-20 22,5118.0,362.0
2016-10-20 23,5118.0,362.0
2016-10-21 00,5118.0,362.0
2016-10-21 01,5118.0,362.0
2016-10-21 02,5119.0,362.0
2016-10-21 03,5119.0,362.0
2016-10-21 04,5119.0,362.0
2016-10-21 05,5119.0,362.0
2016-10-21 06,5119.0,362.0
2016-10-21 07,5119.0,362.0
2016-10-21 08,5119.0,363.0
2016-10-21 09,5119.0,363.0
2016-10-21 10,5119.0,363.0
2016-10-21 11,5119.0,363.0
2016-10-21 12,5119.0,363.0
2016-10-21 13,5119.0,363.0
