Date,For,Against
2016-05-16 10,0.0,1.0
2016-05-16 11,0.0,1.0
2016-05-16 12,0.0,2.0
2016-05-16 13,0.0,2.0
2016-05-16 14,0.0,3.0
2016-05-16 15,0.0,3.0
2016-05-16 16,0.0,3.0
2016-05-16 17,0.0,3.0
2016-05-16 18,0.0,3.0
2016-05-16 19,0.0,4.0
2016-05-16 20,0.0,5.0
2016-05-16 21,0.0,6.0
2016-05-16 22,0.0,6.0
2016-05-16 23,0.0,7.0
2016-05-17 00,0.0,9.0
2016-05-17 01,0.0,9.0
2016-05-17 02,0.0,9.0
2016-05-17 03,0.0,9.0
2016-05-17 04,0.0,9.0
2016-05-17 05,0.0,9.0
2016-05-17 06,0.0,9.0
2016-05-17 07,0.0,10.0
2016-05-17 08,0.0,10.0
2016-05-17 09,0.0,11.0
2016-05-17 10,0.0,11.0
2016-05-17 11,0.0,11.0
2016-05-17 12,0.0,11.0
2016-05-17 13,0.0,11.0
2016-05-17 14,0.0,11.0
2016-05-17 15,0.0,11.0
2016-05-17 16,0.0,11.0
2016-05-17 17,0.0,13.0
2016-05-17 18,0.0,13.0
2016-05-17 19,0.0,13.0
2016-05-17 20,0.0,13.0
2016-05-17 21,0.0,14.0
2016-05-17 22,0.0,17.0
2016-05-17 23,0.0,17.0
2016-05-18 00,0.0,17.0
2016-05-18 01,0.0,18.0
2016-05-18 02,0.0,18.0
2016-05-18 03,0.0,18.0
2016-05-18 04,0.0,19.0
2016-05-18 05,0.0,19.0
2016-05-18 06,0.0,19.0
2016-05-18 07,0.0,19.0
2016-05-18 08,0.0,19.0
2016-05-18 09,0.0,19.0
2016-05-18 10,0.0,19.0
2016-05-18 11,0.0,19.0
2016-05-18 12,0.0,20.0
2016-05-18 13,0.0,20.0
2016-05-18 14,0.0,21.0
2016-05-18 15,0.0,21.0
2016-05-18 16,0.0,21.0
2016-05-18 17,0.0,21.0
2016-05-18 18,0.0,21.0
2016-05-18 19,0.0,21.0
2016-05-18 20,0.0,21.0
2016-05-18 21,0.0,21.0
2016-05-18 22,0.0,21.0
2016-05-18 23,0.0,21.0
2016-05-19 00,0.0,21.0
2016-05-19 01,0.0,21.0
2016-05-19 02,0.0,21.0
2016-05-19 03,0.0,23.0
2016-05-19 04,0.0,23.0
2016-05-19 05,0.0,23.0
2016-05-19 06,0.0,23.0
2016-05-19 07,0.0,23.0
2016-05-19 08,0.0,23.0
2016-05-19 09,0.0,23.0
2016-05-19 10,0.0,23.0
2016-05-19 11,0.0,23.0
2016-05-19 12,0.0,24.0
2016-05-19 13,0.0,24.0
2016-05-19 14,0.0,24.0
2016-05-19 15,0.0,24.0
2016-05-19 16,0.0,24.0
2016-05-19 17,0.0,24.0
2016-05-19 18,0.0,24.0
2016-05-19 19,0.0,24.0
2016-05-19 20,0.0,24.0
2016-05-19 21,0.0,24.0
2016-05-19 22,0.0,24.0
2016-05-19 23,0.0,24.0
2016-05-20 00,0.0,24.0
2016-05-20 01,0.0,24.0
2016-05-20 02,0.0,25.0
2016-05-20 03,0.0,25.0
2016-05-20 04,0.0,26.0
2016-05-20 05,0.0,26.0
2016-05-20 06,0.0,26.0
2016-05-20 07,0.0,26.0
2016-05-20 08,0.0,26.0
2016-05-20 09,0.0,26.0
2016-05-20 10,0.0,26.0
2016-05-20 11,0.0,26.0
2016-05-20 12,0.0,26.0
2016-05-20 13,0.0,26.0
2016-05-20 14,0.0,26.0
2016-05-20 15,0.0,27.0
2016-05-20 16,0.0,27.0
2016-05-20 17,0.0,27.0
2016-05-20 18,0.0,27.0
2016-05-20 19,0.0,29.0
2016-05-20 20,0.0,30.0
2016-05-20 21,0.0,32.0
2016-05-20 22,0.0,33.0
2016-05-20 23,0.0,33.0
2016-05-21 00,0.0,33.0
2016-05-21 01,0.0,34.0
2016-05-21 02,0.0,34.0
2016-05-21 03,0.0,34.0
2016-05-21 04,0.0,35.0
2016-05-21 05,0.0,35.0
2016-05-21 06,0.0,35.0
2016-05-21 07,0.0,35.0
2016-05-21 08,0.0,35.0
2016-05-21 09,0.0,35.0
2016-05-21 10,0.0,35.0
2016-05-21 11,0.0,35.0
2016-05-21 12,0.0,35.0
2016-05-21 13,0.0,35.0
2016-05-21 14,0.0,35.0
2016-05-21 15,0.0,36.0
2016-05-21 16,0.0,36.0
2016-05-21 17,0.0,36.0
2016-05-21 18,0.0,36.0
2016-05-21 19,0.0,36.0
2016-05-21 20,0.0,36.0
2016-05-21 21,0.0,38.0
2016-05-21 22,0.0,38.0
2016-05-21 23,0.0,39.0
2016-05-22 00,0.0,39.0
2016-05-22 01,0.0,40.0
2016-05-22 02,0.0,40.0
2016-05-22 03,0.0,40.0
2016-05-22 04,0.0,40.0
2016-05-22 05,0.0,40.0
2016-05-22 06,0.0,40.0
2016-05-22 07,0.0,40.0
2016-05-22 08,0.0,40.0
2016-05-22 09,0.0,40.0
2016-05-22 10,0.0,40.0
2016-05-22 11,0.0,41.0
2016-05-22 12,0.0,41.0
2016-05-22 13,0.0,41.0
2016-05-22 14,0.0,41.0
2016-05-22 15,0.0,41.0
2016-05-22 16,0.0,41.0
2016-05-22 17,0.0,42.0
2016-05-22 18,0.0,42.0
2016-05-22 19,0.0,43.0
2016-05-22 20,0.0,43.0
2016-05-22 21,0.0,43.0
2016-05-22 22,0.0,43.0
2016-05-22 23,0.0,43.0
2016-05-23 00,0.0,43.0
2016-05-23 01,0.0,44.0
2016-05-23 02,0.0,44.0
2016-05-23 03,0.0,44.0
2016-05-23 04,0.0,44.0
2016-05-23 05,0.0,44.0
2016-05-23 06,0.0,44.0
2016-05-23 07,0.0,44.0
2016-05-23 08,0.0,44.0
2016-05-23 09,0.0,44.0
2016-05-23 10,0.0,44.0
2016-05-23 11,0.0,44.0
2016-05-23 12,0.0,45.0
2016-05-23 13,0.0,45.0
2016-05-23 14,0.0,45.0
2016-05-23 15,0.0,45.0
2016-05-23 16,0.0,45.0
2016-05-23 17,0.0,45.0
2016-05-23 18,0.0,45.0
2016-05-23 19,0.0,45.0
2016-05-23 20,0.0,45.0
2016-05-23 21,0.0,45.0
2016-05-23 22,0.0,45.0
2016-05-23 23,0.0,45.0
2016-05-24 00,0.0,45.0
2016-05-24 01,0.0,45.0
2016-05-24 02,0.0,45.0
2016-05-24 03,0.0,45.0
2016-05-24 04,0.0,45.0
2016-05-24 05,0.0,45.0
2016-05-24 06,0.0,45.0
2016-05-24 07,0.0,45.0
2016-05-24 08,0.0,45.0
2016-05-24 09,0.0,45.0
2016-05-24 10,0.0,45.0
2016-05-24 11,0.0,45.0
2016-05-24 12,0.0,45.0
2016-05-24 13,0.0,45.0
2016-05-24 14,0.0,45.0
2016-05-24 15,0.0,45.0
2016-05-24 16,0.0,45.0
2016-05-24 17,0.0,45.0
2016-05-24 18,0.0,45.0
2016-05-24 19,0.0,45.0
2016-05-24 20,0.0,46.0
2016-05-24 21,0.0,46.0
2016-05-24 22,0.0,47.0
2016-05-24 23,0.0,47.0
2016-05-25 00,0.0,47.0
2016-05-25 01,0.0,47.0
2016-05-25 02,0.0,47.0
2016-05-25 03,0.0,47.0
2016-05-25 04,0.0,47.0
2016-05-25 05,0.0,47.0
2016-05-25 06,0.0,47.0
2016-05-25 07,0.0,47.0
2016-05-25 08,0.0,47.0
2016-05-25 09,0.0,47.0
2016-05-25 10,0.0,47.0
2016-05-25 11,0.0,47.0
2016-05-25 12,0.0,47.0
2016-05-25 13,0.0,47.0
2016-05-25 14,0.0,47.0
2016-05-25 15,0.0,48.0
2016-05-25 16,0.0,48.0
2016-05-25 17,0.0,48.0
2016-05-25 18,0.0,48.0
2016-05-25 19,0.0,48.0
2016-05-25 20,0.0,49.0
2016-05-25 21,0.0,49.0
2016-05-25 22,0.0,50.0
2016-05-25 23,0.0,51.0
2016-05-26 00,0.0,51.0
2016-05-26 01,0.0,51.0
2016-05-26 02,0.0,51.0
2016-05-26 03,0.0,51.0
2016-05-26 04,0.0,51.0
2016-05-26 05,0.0,51.0
2016-05-26 06,0.0,51.0
2016-05-26 07,0.0,51.0
2016-05-26 08,0.0,51.0
2016-05-26 09,0.0,51.0
2016-05-26 10,0.0,51.0
2016-05-26 11,0.0,51.0
2016-05-26 12,0.0,51.0
2016-05-26 13,0.0,52.0
2016-05-26 14,0.0,53.0
2016-05-26 15,0.0,53.0
2016-05-26 16,0.0,55.0
2016-05-26 17,0.0,55.0
2016-05-26 18,0.0,55.0
2016-05-26 19,0.0,55.0
2016-05-26 20,0.0,55.0
2016-05-26 21,0.0,55.0
2016-05-26 22,0.0,55.0
2016-05-26 23,0.0,55.0
2016-05-27 00,0.0,56.0
2016-05-27 01,0.0,56.0
2016-05-27 02,0.0,56.0
2016-05-27 03,0.0,56.0
2016-05-27 04,0.0,56.0
2016-05-27 05,0.0,56.0
2016-05-27 06,0.0,56.0
2016-05-27 07,0.0,56.0
2016-05-27 08,0.0,56.0
2016-05-27 09,0.0,56.0
2016-05-27 10,0.0,56.0
2016-05-27 11,0.0,56.0
2016-05-27 12,0.0,56.0
2016-05-27 13,0.0,56.0
2016-05-27 14,0.0,56.0
2016-05-27 15,0.0,56.0
2016-05-27 16,0.0,56.0
2016-05-27 17,0.0,56.0
