Date,For,Against
2016-06-12 09,2.0,0.0
2016-06-12 10,7.0,0.0
2016-06-12 11,9.0,0.0
2016-06-12 12,17.0,0.0
2016-06-12 13,18.0,0.0
2016-06-12 14,22.0,0.0
2016-06-12 15,22.0,0.0
2016-06-12 16,22.0,0.0
2016-06-12 17,25.0,0.0
2016-06-12 18,26.0,0.0
2016-06-12 19,26.0,0.0
2016-06-12 20,27.0,0.0
2016-06-12 21,27.0,0.0
2016-06-12 22,27.0,0.0
2016-06-12 23,27.0,0.0
2016-06-13 00,28.0,0.0
2016-06-13 01,29.0,0.0
2016-06-13 02,29.0,0.0
2016-06-13 03,29.0,0.0
2016-06-13 04,29.0,0.0
2016-06-13 05,29.0,0.0
2016-06-13 06,29.0,0.0
2016-06-13 07,29.0,0.0
2016-06-13 08,29.0,0.0
2016-06-13 09,29.0,0.0
2016-06-13 10,29.0,0.0
2016-06-13 11,29.0,0.0
2016-06-13 12,29.0,0.0
2016-06-13 13,29.0,0.0
2016-06-13 14,29.0,0.0
2016-06-13 15,29.0,0.0
2016-06-13 16,29.0,0.0
2016-06-13 17,30.0,0.0
2016-06-13 18,30.0,0.0
2016-06-13 19,30.0,0.0
2016-06-13 20,30.0,0.0
2016-06-13 21,30.0,0.0
2016-06-13 22,30.0,0.0
2016-06-13 23,30.0,0.0
2016-06-14 00,30.0,0.0
2016-06-14 01,30.0,0.0
2016-06-14 02,30.0,0.0
2016-06-14 03,31.0,0.0
2016-06-14 04,31.0,0.0
2016-06-14 05,31.0,0.0
2016-06-14 06,31.0,0.0
2016-06-14 07,31.0,0.0
2016-06-14 08,31.0,0.0
2016-06-14 09,31.0,0.0
2016-06-14 10,31.0,0.0
2016-06-14 11,31.0,0.0
2016-06-14 12,31.0,0.0
2016-06-14 13,31.0,0.0
2016-06-14 14,31.0,0.0
2016-06-14 15,34.0,0.0
2016-06-14 16,39.0,0.0
2016-06-14 17,44.0,0.0
2016-06-14 18,44.0,0.0
2016-06-14 19,46.0,0.0
2016-06-14 20,52.0,0.0
2016-06-14 21,60.0,0.0
2016-06-14 22,63.0,0.0
2016-06-14 23,69.0,0.0
2016-06-15 00,73.0,0.0
2016-06-15 01,76.0,0.0
2016-06-15 02,92.0,0.0
2016-06-15 03,98.0,0.0
2016-06-15 04,102.0,0.0
2016-06-15 05,107.0,0.0
2016-06-15 06,111.0,0.0
2016-06-15 07,115.0,0.0
2016-06-15 08,117.0,0.0
2016-06-15 09,117.0,0.0
2016-06-15 10,119.0,0.0
2016-06-15 11,122.0,0.0
2016-06-15 12,129.0,0.0
2016-06-15 13,132.0,0.0
2016-06-15 14,171.0,0.0
2016-06-15 15,194.0,0.0
2016-06-15 16,219.0,0.0
2016-06-15 17,238.0,0.0
2016-06-15 18,286.0,0.0
2016-06-15 19,325.0,0.0
2016-06-15 20,338.0,0.0
2016-06-15 21,354.0,0.0
2016-06-15 22,366.0,0.0
2016-06-15 23,375.0,0.0
2016-06-16 00,386.0,0.0
2016-06-16 01,403.0,0.0
2016-06-16 02,410.0,0.0
2016-06-16 03,416.0,0.0
2016-06-16 04,425.0,0.0
2016-06-16 05,430.0,0.0
2016-06-16 06,432.0,0.0
2016-06-16 07,433.0,0.0
2016-06-16 08,435.0,0.0
2016-06-16 09,439.0,0.0
2016-06-16 10,440.0,0.0
2016-06-16 11,444.0,0.0
2016-06-16 12,446.0,0.0
2016-06-16 13,449.0,0.0
2016-06-16 14,451.0,0.0
2016-06-16 15,459.0,0.0
2016-06-16 16,470.0,0.0
2016-06-16 17,478.0,0.0
2016-06-16 18,482.0,0.0
2016-06-16 19,487.0,0.0
2016-06-16 20,488.0,0.0
2016-06-16 21,492.0,0.0
2016-06-16 22,497.0,0.0
2016-06-16 23,503.0,0.0
2016-06-17 00,506.0,0.0
2016-06-17 01,513.0,0.0
2016-06-17 02,524.0,0.0
2016-06-17 03,525.0,0.0
2016-06-17 04,528.0,0.0
2016-06-17 05,545.0,0.0
2016-06-17 06,552.0,0.0
2016-06-17 07,557.0,0.0
2016-06-17 08,560.0,0.0
2016-06-17 09,560.0,0.0
2016-06-17 10,564.0,0.0
2016-06-17 11,566.0,0.0
2016-06-17 12,603.0,0.0
2016-06-17 13,639.0,0.0
2016-06-17 14,673.0,0.0
2016-06-17 15,692.0,0.0
2016-06-17 16,703.0,0.0
2016-06-17 17,716.0,0.0
2016-06-17 18,722.0,0.0
2016-06-17 19,727.0,0.0
2016-06-17 20,734.0,0.0
