Date,For,Against
2016-08-14 23,612.0,0.0
2016-08-15 00,1455.0,0.0
2016-08-15 01,2019.0,0.0
2016-08-15 02,2373.0,0.0
2016-08-15 03,2679.0,0.0
2016-08-15 04,2897.0,0.0
2016-08-15 05,2979.0,0.0
2016-08-15 06,3079.0,0.0
2016-08-15 07,3162.0,0.0
2016-08-15 08,3215.0,0.0
2016-08-15 09,3252.0,0.0
2016-08-15 10,3299.0,0.0
2016-08-15 11,3683.0,0.0
2016-08-15 12,4026.0,0.0
2016-08-15 13,4452.0,0.0
2016-08-15 14,4843.0,0.0
2016-08-15 15,5210.0,0.0
2016-08-15 16,5568.0,0.0
2016-08-15 17,5810.0,0.0
2016-08-15 18,6026.0,0.0
2016-08-15 19,6242.0,0.0
2016-08-15 20,6381.0,0.0
2016-08-15 21,6494.0,0.0
2016-08-15 22,6590.0,0.0
2016-08-15 23,6719.0,0.0
2016-08-16 00,6907.0,0.0
2016-08-16 01,7059.0,0.0
2016-08-16 02,7234.0,0.0
2016-08-16 03,7345.0,0.0
2016-08-16 04,7429.0,0.0
2016-08-16 05,7486.0,0.0
2016-08-16 06,7511.0,0.0
2016-08-16 07,7541.0,0.0
2016-08-16 08,7564.0,0.0
2016-08-16 09,7603.0,0.0
2016-08-16 10,7628.0,0.0
2016-08-16 11,7677.0,0.0
2016-08-16 12,7705.0,0.0
2016-08-16 13,7742.0,0.0
2016-08-16 14,7786.0,0.0
2016-08-16 15,7856.0,0.0
2016-08-16 16,7935.0,0.0
2016-08-16 17,7988.0,0.0
2016-08-16 18,8035.0,0.0
2016-08-16 19,8089.0,0.0
2016-08-16 20,8113.0,0.0
2016-08-16 21,8184.0,0.0
2016-08-16 22,8233.0,0.0
2016-08-16 23,8262.0,0.0
2016-08-17 00,8338.0,0.0
2016-08-17 01,8382.0,0.0
2016-08-17 02,8427.0,0.0
2016-08-17 03,8452.0,0.0
2016-08-17 04,8468.0,0.0
2016-08-17 05,8476.0,0.0
2016-08-17 06,8482.0,0.0
2016-08-17 07,8487.0,0.0
2016-08-17 08,8493.0,0.0
2016-08-17 09,8496.0,0.0
2016-08-17 10,8503.0,0.0
2016-08-17 11,8514.0,0.0
2016-08-17 12,8526.0,0.0
2016-08-17 13,8532.0,0.0
2016-08-17 14,8537.0,0.0
2016-08-17 15,8884.0,0.0
2016-08-17 16,9288.0,0.0
2016-08-17 17,9504.0,0.0
2016-08-17 18,9654.0,0.0
2016-08-17 19,9784.0,0.0
2016-08-17 20,10160.0,0.0
2016-08-17 21,10557.0,0.0
2016-08-17 22,10937.0,0.0
2016-08-17 23,11222.0,0.0
2016-08-18 00,11399.0,0.0
2016-08-18 01,11535.0,0.0
2016-08-18 02,11643.0,0.0
2016-08-18 03,11742.0,0.0
2016-08-18 04,11803.0,0.0
2016-08-18 05,11851.0,0.0
2016-08-18 06,11882.0,0.0
2016-08-18 07,11921.0,0.0
2016-08-18 08,11940.0,0.0
2016-08-18 09,11957.0,0.0
2016-08-18 10,11983.0,0.0
2016-08-18 11,12045.0,0.0
2016-08-18 12,12098.0,0.0
2016-08-18 13,12136.0,0.0
2016-08-18 14,12169.0,0.0
2016-08-18 15,12199.0,0.0
2016-08-18 16,12228.0,0.0
2016-08-18 17,12274.0,0.0
2016-08-18 18,12302.0,0.0
2016-08-18 19,12333.0,0.0
2016-08-18 20,12348.0,0.0
2016-08-18 21,12369.0,0.0
2016-08-18 22,12398.0,0.0
2016-08-18 23,12412.0,0.0
2016-08-19 00,12426.0,0.0
2016-08-19 01,12434.0,0.0
2016-08-19 02,12449.0,0.0
2016-08-19 03,12469.0,0.0
2016-08-19 04,12478.0,0.0
2016-08-19 05,12483.0,0.0
2016-08-19 06,12497.0,0.0
2016-08-19 07,12504.0,0.0
2016-08-19 08,12520.0,0.0
2016-08-19 09,12556.0,0.0
2016-08-19 10,12562.0,0.0
2016-08-19 11,12568.0,0.0
2016-08-19 12,12582.0,0.0
2016-08-19 13,12585.0,0.0
2016-08-19 14,12588.0,0.0
2016-08-19 15,12603.0,0.0
2016-08-19 16,12613.0,0.0
2016-08-19 17,12621.0,0.0
2016-08-19 18,12625.0,0.0
2016-08-19 19,12632.0,0.0
2016-08-19 20,12635.0,0.0
2016-08-19 21,12637.0,0.0
2016-08-19 22,12650.0,0.0
2016-08-19 23,12657.0,0.0
2016-08-20 00,12663.0,0.0
2016-08-20 01,12665.0,0.0
2016-08-20 02,12677.0,0.0
2016-08-20 03,12691.0,0.0
2016-08-20 04,12704.0,0.0
2016-08-20 05,12712.0,0.0
2016-08-20 06,12713.0,0.0
2016-08-20 07,12717.0,0.0
2016-08-20 08,12720.0,0.0
2016-08-20 09,12724.0,0.0
2016-08-20 10,12724.0,0.0
2016-08-20 11,12727.0,0.0
2016-08-20 12,12758.0,0.0
2016-08-20 13,12768.0,0.0
2016-08-20 14,12776.0,0.0
2016-08-20 15,12782.0,0.0
2016-08-20 16,12788.0,0.0
2016-08-20 17,12792.0,0.0
2016-08-20 18,12797.0,0.0
2016-08-20 19,12802.0,0.0
2016-08-20 20,12809.0,0.0
2016-08-20 21,12817.0,0.0
2016-08-20 22,12831.0,0.0
2016-08-20 23,12868.0,0.0
2016-08-21 00,12915.0,0.0
2016-08-21 01,12968.0,0.0
2016-08-21 02,13003.0,0.0
2016-08-21 03,13035.0,0.0
2016-08-21 04,13057.0,0.0
2016-08-21 05,13074.0,0.0
2016-08-21 06,13083.0,0.0
2016-08-21 07,13097.0,0.0
2016-08-21 08,13098.0,0.0
2016-08-21 09,13101.0,0.0
2016-08-21 10,13105.0,0.0
2016-08-21 11,13107.0,0.0
2016-08-21 12,13116.0,0.0
2016-08-21 13,13124.0,0.0
2016-08-21 14,13139.0,0.0
2016-08-21 15,13174.0,0.0
2016-08-21 16,13201.0,0.0
2016-08-21 17,13208.0,0.0
2016-08-21 18,13221.0,0.0
2016-08-21 19,13224.0,0.0
2016-08-21 20,13233.0,0.0
2016-08-21 21,13245.0,0.0
2016-08-21 22,13255.0,0.0
2016-08-21 23,13262.0,0.0
2016-08-22 00,13268.0,0.0
2016-08-22 01,13275.0,0.0
2016-08-22 02,13284.0,0.0
2016-08-22 03,13293.0,0.0
2016-08-22 04,13298.0,0.0
2016-08-22 05,13306.0,0.0
2016-08-22 06,13310.0,0.0
2016-08-22 07,13311.0,0.0
2016-08-22 08,13313.0,0.0
2016-08-22 09,13315.0,0.0
2016-08-22 10,13317.0,0.0
2016-08-22 11,13319.0,0.0
2016-08-22 12,13323.0,0.0
2016-08-22 13,13457.0,0.0
2016-08-22 14,13804.0,0.0
2016-08-22 15,14073.0,0.0
2016-08-22 16,14242.0,0.0
2016-08-22 17,14453.0,0.0
2016-08-22 18,14647.0,0.0
2016-08-22 19,14897.0,0.0
2016-08-22 20,15087.0,0.0
2016-08-22 21,15270.0,0.0
2016-08-22 22,15464.0,0.0
2016-08-22 23,15631.0,0.0
2016-08-23 00,15730.0,0.0
2016-08-23 01,15819.0,0.0
2016-08-23 02,15879.0,0.0
2016-08-23 03,15964.0,0.0
2016-08-23 04,16036.0,0.0
2016-08-23 05,16072.0,0.0
2016-08-23 06,16103.0,0.0
2016-08-23 07,16127.0,0.0
2016-08-23 08,16146.0,0.0
2016-08-23 09,16161.0,0.0
2016-08-23 10,16174.0,0.0
2016-08-23 11,16256.0,0.0
2016-08-23 12,16352.0,0.0
2016-08-23 13,16395.0,0.0
2016-08-23 14,16462.0,0.0
2016-08-23 15,16555.0,0.0
2016-08-23 16,16614.0,0.0
2016-08-23 17,16673.0,0.0
