Date,For,Against
2016-06-13 10,1.0,0.0
2016-06-13 11,1.0,0.0
2016-06-13 12,1.0,0.0
2016-06-13 13,1.0,0.0
2016-06-13 14,2.0,0.0
2016-06-13 15,5.0,0.0
2016-06-13 16,93.0,0.0
2016-06-13 17,320.0,0.0
2016-06-13 18,446.0,0.0
2016-06-13 19,498.0,0.0
2016-06-13 20,529.0,0.0
2016-06-13 21,548.0,0.0
2016-06-13 22,564.0,0.0
2016-06-13 23,594.0,0.0
2016-06-14 00,633.0,0.0
2016-06-14 01,667.0,0.0
2016-06-14 02,689.0,0.0
2016-06-14 03,876.0,0.0
2016-06-14 04,933.0,0.0
2016-06-14 05,946.0,0.0
2016-06-14 06,960.0,0.0
2016-06-14 07,977.0,0.0
2016-06-14 08,978.0,0.0
2016-06-14 09,979.0,0.0
2016-06-14 10,1000.0,0.0
2016-06-14 11,1016.0,0.0
2016-06-14 12,1057.0,0.0
2016-06-14 13,1128.0,0.0
2016-06-14 14,1200.0,0.0
2016-06-14 15,1224.0,5.0
2016-06-14 16,1254.0,15.0
2016-06-14 17,1260.0,16.0
2016-06-14 18,1266.0,18.0
2016-06-14 19,1272.0,19.0
2016-06-14 20,1290.0,19.0
2016-06-14 21,1309.0,19.0
2016-06-14 22,1328.0,19.0
2016-06-14 23,1344.0,20.0
2016-06-15 00,1359.0,20.0
2016-06-15 01,1360.0,20.0
2016-06-15 02,1369.0,20.0
2016-06-15 03,1376.0,21.0
2016-06-15 04,1408.0,21.0
2016-06-15 05,1410.0,21.0
2016-06-15 06,1414.0,21.0
2016-06-15 07,1420.0,21.0
2016-06-15 08,1425.0,21.0
2016-06-15 09,1433.0,21.0
2016-06-15 10,1435.0,21.0
2016-06-15 11,1449.0,22.0
2016-06-15 12,1455.0,22.0
2016-06-15 13,1455.0,24.0
2016-06-15 14,1459.0,24.0
2016-06-15 15,1463.0,24.0
2016-06-15 16,1468.0,24.0
2016-06-15 17,1483.0,26.0
2016-06-15 18,1488.0,26.0
2016-06-15 19,1490.0,27.0
2016-06-15 20,1491.0,27.0
2016-06-15 21,1496.0,27.0
