Date,For,Against
2016-09-28 10,2.0,0.0
2016-09-28 11,12.0,0.0
2016-09-28 12,26.0,0.0
2016-09-28 13,44.0,0.0
2016-09-28 14,59.0,0.0
2016-09-28 15,92.0,0.0
2016-09-28 16,162.0,0.0
2016-09-28 17,185.0,1.0
2016-09-28 18,314.0,9.0
2016-09-28 19,388.0,12.0
2016-09-28 20,439.0,28.0
2016-09-28 21,488.0,33.0
2016-09-28 22,611.0,38.0
2016-09-28 23,633.0,44.0
2016-09-29 00,657.0,51.0
2016-09-29 01,670.0,55.0
2016-09-29 02,682.0,57.0
2016-09-29 03,691.0,60.0
2016-09-29 04,708.0,61.0
2016-09-29 05,718.0,61.0
2016-09-29 06,726.0,62.0
2016-09-29 07,741.0,62.0
2016-09-29 08,743.0,62.0
2016-09-29 09,745.0,63.0
2016-09-29 10,747.0,66.0
2016-09-29 11,753.0,66.0
2016-09-29 12,759.0,68.0
2016-09-29 13,762.0,70.0
2016-09-29 14,767.0,70.0
2016-09-29 15,771.0,73.0
2016-09-29 16,775.0,73.0
2016-09-29 17,778.0,74.0
2016-09-29 18,783.0,78.0
2016-09-29 19,788.0,79.0
2016-09-29 20,790.0,79.0
2016-09-29 21,791.0,79.0
2016-09-29 22,794.0,79.0
2016-09-29 23,795.0,79.0
2016-09-30 00,795.0,82.0
2016-09-30 01,796.0,82.0
2016-09-30 02,798.0,83.0
2016-09-30 03,799.0,85.0
2016-09-30 04,799.0,86.0
2016-09-30 05,799.0,86.0
2016-09-30 06,800.0,86.0
2016-09-30 07,800.0,86.0
2016-09-30 08,800.0,86.0
2016-09-30 09,801.0,86.0
2016-09-30 10,801.0,86.0
2016-09-30 11,802.0,86.0
2016-09-30 12,802.0,86.0
2016-09-30 13,804.0,86.0
2016-09-30 14,804.0,86.0
2016-09-30 15,804.0,87.0
2016-09-30 16,804.0,88.0
2016-09-30 17,804.0,89.0
2016-09-30 18,804.0,89.0
2016-09-30 19,804.0,89.0
2016-09-30 20,804.0,89.0
2016-09-30 21,804.0,89.0
2016-09-30 22,804.0,89.0
2016-09-30 23,804.0,89.0
2016-10-01 00,804.0,89.0
2016-10-01 01,804.0,89.0
2016-10-01 02,804.0,89.0
2016-10-01 03,804.0,89.0
2016-10-01 04,804.0,89.0
2016-10-01 05,804.0,89.0
2016-10-01 06,804.0,89.0
2016-10-01 07,804.0,89.0
2016-10-01 08,804.0,89.0
2016-10-01 09,804.0,89.0
2016-10-01 10,804.0,89.0
2016-10-01 11,804.0,89.0
2016-10-01 12,804.0,89.0
2016-10-01 13,804.0,89.0
2016-10-01 14,804.0,89.0
2016-10-01 15,804.0,89.0
2016-10-01 16,804.0,89.0
2016-10-01 17,804.0,89.0
2016-10-01 18,804.0,89.0
2016-10-01 19,804.0,89.0
2016-10-01 20,804.0,89.0
2016-10-01 21,804.0,89.0
2016-10-01 22,804.0,89.0
2016-10-01 23,804.0,89.0
2016-10-02 00,804.0,89.0
2016-10-02 01,804.0,89.0
2016-10-02 02,804.0,89.0
2016-10-02 03,804.0,89.0
2016-10-02 04,804.0,89.0
2016-10-02 05,804.0,89.0
2016-10-02 06,804.0,89.0
2016-10-02 07,804.0,89.0
2016-10-02 08,804.0,89.0
2016-10-02 09,804.0,89.0
2016-10-02 10,804.0,89.0
2016-10-02 11,804.0,89.0
2016-10-02 12,804.0,89.0
2016-10-02 13,804.0,89.0
2016-10-02 14,804.0,89.0
2016-10-02 15,804.0,89.0
2016-10-02 16,804.0,89.0
2016-10-02 17,804.0,89.0
2016-10-02 18,804.0,89.0
2016-10-02 19,804.0,89.0
2016-10-02 20,804.0,89.0
2016-10-02 21,804.0,89.0
2016-10-02 22,804.0,89.0
2016-10-02 23,804.0,89.0
2016-10-03 00,804.0,89.0
2016-10-03 01,804.0,89.0
2016-10-03 02,804.0,89.0
2016-10-03 03,804.0,89.0
2016-10-03 04,804.0,89.0
2016-10-03 05,804.0,89.0
2016-10-03 06,804.0,89.0
2016-10-03 07,804.0,89.0
2016-10-03 08,804.0,89.0
2016-10-03 09,804.0,89.0
2016-10-03 10,804.0,89.0
2016-10-03 11,804.0,89.0
2016-10-03 12,804.0,89.0
2016-10-03 13,804.0,89.0
2016-10-03 14,804.0,89.0
2016-10-03 15,804.0,89.0
2016-10-03 16,804.0,89.0
2016-10-03 17,804.0,89.0
2016-10-03 18,804.0,89.0
2016-10-03 19,804.0,89.0
2016-10-03 20,804.0,89.0
2016-10-03 21,804.0,89.0
2016-10-03 22,804.0,89.0
2016-10-03 23,804.0,89.0
2016-10-04 00,804.0,89.0
2016-10-04 01,804.0,89.0
2016-10-04 02,804.0,89.0
2016-10-04 03,804.0,89.0
2016-10-04 04,804.0,89.0
2016-10-04 05,804.0,89.0
2016-10-04 06,804.0,89.0
2016-10-04 07,804.0,89.0
2016-10-04 08,804.0,89.0
2016-10-04 09,804.0,89.0
2016-10-04 10,804.0,89.0
2016-10-04 11,804.0,89.0
2016-10-04 12,804.0,89.0
2016-10-04 13,804.0,89.0
2016-10-04 14,804.0,89.0
2016-10-04 15,804.0,89.0
2016-10-04 16,804.0,89.0
2016-10-04 17,804.0,89.0
2016-10-04 18,804.0,89.0
2016-10-04 19,804.0,89.0
2016-10-04 20,804.0,89.0
2016-10-04 21,804.0,89.0
2016-10-04 22,804.0,89.0
2016-10-04 23,804.0,89.0
2016-10-05 00,804.0,89.0
2016-10-05 01,804.0,89.0
2016-10-05 02,804.0,89.0
2016-10-05 03,804.0,89.0
2016-10-05 04,804.0,89.0
2016-10-05 05,804.0,89.0
2016-10-05 06,804.0,89.0
2016-10-05 07,804.0,89.0
2016-10-05 08,804.0,89.0
2016-10-05 09,804.0,89.0
2016-10-05 10,804.0,89.0
2016-10-05 11,804.0,89.0
2016-10-05 12,804.0,89.0
