Date,For,Against
2016-08-18,0.0,22.0
2016-08-19,966.0,87.0
2016-08-20,1553.0,92.0
2016-08-21,2046.0,97.0
2016-08-22,2117.0,103.0
2016-08-23,2174.0,112.0
2016-08-24,2209.0,117.0
2016-08-25,2246.0,127.0
2016-08-26,2258.0,134.0
2016-08-27,2274.0,143.0
2016-08-28,2285.0,145.0
2016-08-29,2306.0,147.0
2016-08-30,2309.0,148.0
2016-08-31,2313.0,152.0
2016-09-01,2324.0,152.0
2016-09-02,2324.0,152.0
2016-09-03,2326.0,152.0
2016-09-04,2327.0,152.0
2016-09-05,2328.0,154.0
2016-09-06,2328.0,156.0
2016-09-07,2330.0,156.0
2016-09-08,2330.0,156.0
2016-09-09,2330.0,156.0
2016-09-10,2330.0,157.0
2016-09-11,2330.0,158.0
2016-09-12,2332.0,161.0
2016-09-13,2332.0,163.0
2016-09-14,2332.0,163.0
2016-09-15,2333.0,163.0
2016-09-16,2333.0,163.0
2016-09-17,2334.0,163.0
2016-09-18,2334.0,163.0
2016-09-19,2334.0,163.0
2016-09-20,2334.0,163.0
2016-09-21,2335.0,163.0
2016-09-22,2335.0,163.0
2016-09-23,2335.0,163.0
2016-09-24,2335.0,163.0
2016-09-25,2335.0,164.0
2016-09-26,2335.0,168.0
2016-09-27,2335.0,168.0
2016-09-28,2335.0,169.0
2016-09-29,2335.0,169.0
2016-09-30,2335.0,169.0
2016-10-01,2335.0,169.0
2016-10-02,2335.0,169.0
2016-10-03,2335.0,169.0
2016-10-04,2335.0,169.0
2016-10-05,2335.0,169.0
2016-10-06,2335.0,169.0
2016-10-07,2335.0,169.0
2016-10-08,2335.0,169.0
2016-10-09,2335.0,169.0
2016-10-10,2335.0,169.0
2016-10-11,2335.0,169.0
2016-10-12,2335.0,169.0
2016-10-13,2335.0,169.0
2016-10-14,2335.0,169.0
2016-10-15,2335.0,169.0
2016-10-16,2335.0,169.0
2016-10-17,2335.0,172.0
