story_id,fake_url,fact_url
1,bipartisanreport.com/2017/05/27/mitch-mcconnell-implicated-in-widespread-putinukraine-money-funnel-fbi-notified/,politifact.com/wisconsin/statements/2017/jun/21/tweets/pro-putin-ukrainian-gave-scott-walker-1-million/
2,breitbart.com/big-government/2017/02/06/records-soros-fund-execs-funded-paul-ryan-marco-rubio-jeb-bush-john-mccain-john-kasich-lindsey-graham-in-2016/,factcheck.org/%soros-not-funding-kasich-pac/
2,breitbart.com/big-government/2017/02/06/records-soros-fund-execs-funded-paul-ryan-marco-rubio-jeb-bush-john-mccain-john-kasich-lindsey-graham-in-2016/,politifact.com/ohio/statements/2016/apr/04/trusted-leadership-pac/no-george-soros-not-bankrolling-john-kasichs-campa/
3,breitbart.com/big-government/2017/03/03/mark-levin-obama-used-police-state-tactics-undermine-trump/,politifact.com/truth-o-meter/article/2017/mar/06/did-donald-trump-invent-claim-barack-obama-tapped-/
4,breitbart.com/big-government/2017/09/07/exclusive-kobach-out-of-state-voters-changed-outcome-new-hampshire-senate-race/,politifact.com/truth-o-meter/statements/2017/sep/15/kris-kobach/there-evidence-voter-fraud-new-hampshire-kris-koba/
5,breitbart.com/big-government/2017/10/26/nolte-hillary-clinton-colluded-with-russians-to-rig-election-against-trump/,snopes.com/%dnc-clinton-campaign-pay-trump-russia-steele-dossier/
5,breitbart.com/video/2017/10/29/gowdy-hillary-clinton-potentially-laundered-money-law-firm-avoid-transparency-laws/,snopes.com/%dnc-clinton-campaign-pay-trump-russia-steele-dossier/
6,breitbart.com/big-government/2017/11/02/rep-matt-gaetz-says-jeff-sessions-recused-uranium-one-deal/,politifact.com/truth-o-meter/article/2017/nov/14/what-jeff-sessions-told-house-panel-about-papadopo/
7,breitbart.com/california/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/,factcheck.org/%no-arrests-california-wildfire/
7,breitbart.com/california/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/,politifact.com/california/statements/2017/oct/20/breitbart/breitbarts-false-and-inflammatory-claim-about-dead/
7,breitbart.com/california/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/,snopes.com/%immigrants-california-wildfires/
8,breitbart.com/jerusalem/2017/11/10/alabama-accuser-deletes-anti-moore-postings-facebook-rants-removing-trump-office/,politifact.com/punditfact/statements/2017/nov/15/activist-mommy/headline-misleads-tying-roy-moore-accuser-democrat/
9,dcclothesline.com/%hacked-messages-of-blacklivesmatter-leader-reveal-obama-admins-plan-for-summer-of-chaos-and-martial-law/,snopes.com/%deray-mckesson-and-the-summer-of-chaos/
9,intellihub.com/operation-summer-of-chaos-obama-admin-black-lives-matter-plan/,snopes.com/%deray-mckesson-and-the-summer-of-chaos/
10,govtslaves.info/375000-deposited-to-the-khan-law-account-from-the-clinton-foundation/,snopes.com/%khizr-khan-375000-clinton-foundation/
11,infowars.com/banished-the-untold-story-of-danney-williams-search-for-his-father/,snopes.com/%bill-clinton-illegitimate-son/
11,infowars.com/hillary-banished-me-from-my-father-bill-clintons-son-speaks/,snopes.com/%bill-clinton-illegitimate-son/
12,infowars.com/bernie-delegate-dnc-is-replacing-sanders-supporters-with-paid-seat-fillers-to-create-fake-unity/,snopes.com/%dnc-hiring-actors-via-craigslist-to-replace-delegates/
13,infowars.com/clinton-campaign-email-outlines-effort-to-produce-an-unaware-and-compliant-citizenry/,snopes.com/%clinton-compliant-citizenry/
14,infowars.com/dr-drew-gravely-concerned-about-hillary-clintons-health/,snopes.com/%hillary-clinton-has-parkinsons-disease/
14,infowars.com/hillary-clinton-has-parkinsons-disease-doctor-says/,snopes.com/%hillary-clinton-has-parkinsons-disease/
14,infowars.com/secret-service-leaks-hillarys-health-to-press/,snopes.com/%hillary-clinton-has-parkinsons-disease/
14,infowars.com/secret-service-whistleblower-hillary-has-major-neurological-problems/,snopes.com/%hillary-clinton-has-parkinsons-disease/
14,infowars.com/top-doctor-concerns-over-hillarys-health-not-a-conspiracy-theory/,snopes.com/%hillary-clinton-has-parkinsons-disease/
